Country Name,Average age
Afghanistan,18.8
Albania,32.9
Argentina,31.7
Armenia,35.1
Australia,38.7
Austria,44.0
Azerbaijan,31.3
Bahrain,32.3
Bangladesh,26.7
Belarus,40.0
Belgium,41.4
Benin,18.2
Bolivia,24.3
Bosnia and Herzegovina,42.1
Botswana,24.5
Brazil,32.0
Bulgaria,42.7
Burkina Faso,17.3
Cambodia,25.3
Cameroon,18.5
Canada,42.2
Chad,17.8
Chile,34.4
China,37.4
Colombia,30.0
Costa Rica,31.3
Croatia,43.0
Cyprus,36.8
Czech Republic,42.1
Denmark,42.2
Dominican Republic,28.1
Ecuador,27.7
Egypt,23.9
El Salvador,27.1
Estonia,42.7
Finland,42.5
France,41.4
Gabon,18.6
Georgia,38.1
Germany,47.1
Ghana,21.1
Greece,44.5
Guatemala,22.1
Guinea,18.9
Haiti,23.0
Honduras,23.0
Hong Kong S.A.R. of China,44.4
Hungary,42.3
India,27.9
Indonesia,30.2
Iran,30.3
Iraq,20.0
Ireland,36.8
Israel,29.9
Italy,45.5
Japan,47.3
Jordan,22.5
Kazakhstan,30.6
Kenya,19.7
South Korea,41.8
Kosovo,29.1
Kuwait,29.3
Kyrgyzstan,26.5
Latvia,43.6
Lebanon,30.5
Liberia,17.8
Lithuania,43.7
Luxembourg,39.3
Macedonia,37.9
Madagascar,19.7
Malawi,16.5
Malaysia,28.5
Mali,15.8
Malta,41.8
Mauritania,20.5
Mexico,28.3
Moldova,36.7
Mongolia,28.3
Montenegro,40.7
Morocco,29.3
Nepal,24.1
Netherlands,42.6
New Zealand,37.9
Nicaragua,25.7
Niger,15.4
Nigeria,18.4
Pakistan,23.8
Panama,29.2
Paraguay,28.2
Peru,28.0
Philippines,23.5
Poland,40.7
Portugal,42.2
Romania,41.1
Russia,39.6
Rwanda,19.0
Saudi Arabia,27.5
Senegal,18.8
Serbia,42.6
Sierra Leone,19.0
Singapore,34.6
Slovakia,40.5
Slovenia,44.5
South Africa,27.1
Spain,42.7
Sri Lanka,32.8
Sweden,41.2
Taiwan,40.7
Tajikistan,24.5
Tanzania,17.7
Thailand,37.7
Tunisia,31.6
Turkey,30.9
Turkmenistan,27.9
Uganda,15.8
Ukraine,40.6
United Arab Emirates,30.3
United Kingdom,40.5
United States,38.1
Uruguay,35.0
Uzbekistan,28.6
Venezuela,28.3
Vietnam,30.5
Yemen,19.5
Zambia,16.8
Zimbabwe,20.0
Palestinian Territories,
