Country,Code,Year,Gini income inequality index,Poverty percent of population,Public spending on education percent of public spending,Literacy rate,Tourist arrivals,International tourism revenue,Fragile state index 0 (low) - 120 (high),Security threats index 0 (low) - 10 (high),Human flight and brain drain index 0 (low) - 10 (high),Unemployment rate
Afghanistan,AFG,2017,,,15.66,,,16,17.3,1,8.2,11.18
Albania,ALB,2017,,,12.39,,4643,2050,6.5,4.7,7.6,13.75
Algeria,DZA,2017,,,,,2451,172,76.8,7.2,5.8,12
Andorra,AND,2017,,,18.96,,3003,,,,,0
Angola,AGO,2017,,,,,261,884,91.1,6.5,6.6,7.12
Antigua and Barbuda,ATG,2017,,,,,247,820,54.8,5.7,6.8,0
Argentina,ARG,2017,40.6,25.7,13.26,,6711,5835,48.2,4.3,3,8.35
Armenia,ARM,2017,33.6,25.7,10.4,99.74,1495,1140,71,5.5,6.2,17.7
Aruba,ABW,2017,,,,,1071,1857,,,,0
Australia,AUS,2017,,,,,8815,43975,22.3,2.1,1.3,5.59
Austria,AUT,2017,,,,,29460,22424,27.7,1,1.5,5.5
Azerbaijan,AZE,2017,,,6.95,99.79,2454,3214,76.3,6.2,4.3,5
Bahamas,BHS,2017,,,,,1442,3017,52.4,4.6,4.7,9.8
Bahrain,BHR,2017,,,7.18,97.4,11374,4380,64.9,6.9,3.5,0.7
Bangladesh,BGD,2017,,,18.39,72.89,1026,348,89.1,7.6,7.8,4.37
Barbados,BRB,2017,,,12.88,,664,1080,49.6,4.4,5.4,9.76
Belarus,BLR,2017,25.4,5.9,12.28,,11060,1124,72.4,6.1,3.4,5.65
Belgium,BEL,2017,,,,,8385,9636,3.8,2.4,1.6,7.09
Belize,BLZ,2017,,,21.3,,427,427,65.5,6.4,6.6,6.59
Benin,BEN,2017,,,19.88,,281,160,77.6,6.2,7.4,2.46
Bermuda,BMU,2017,,,7.77,,270,513,,,,0
Bhutan,BTN,2017,37.4,8.2,24.04,66.56,255,153,76,4.5,7.2,2.36
Bolivia,BOL,2017,44,36.4,,,1109,912,76.8,6.5,7,3.67
Bosnia and Herzegovina,BIH,2017,,,,,923,985,73,5.7,5.5,20.53
Botswana,BWA,2017,,,,,1623,542,63.8,4.1,5.5,17.5
Brazil,BRA,2017,53.3,,,93.08,6589,6175,68.2,6.7,4.6,12.82
Brunei,BRN,2017,,,,,259,177,61.6,5.1,4.6,9.32
Bulgaria,BGR,2017,,22,,,8883,4678,53.7,4.3,4.2,6.16
Burkina Faso,BFA,2017,,,21.44,,143,172,88,8.4,7.5,6.22
Burma (Myanmar),MMR,2017,,24.8,10.1,,3443,1988,95.7,8.9,6.4,1.55
Burundi,BDI,2017,,,20.4,68.38,299,3,98.9,8.8,6.3,1.49
Cambodia,KHM,2017,,,,,5602,4024,85.7,6.7,7.6,0.68
Cameroon,CMR,2017,,,15.91,,1081,543,95.6,7.9,7.6,3.41
Canada,CAN,2017,,,,,20883,20400,22.6,2.2,1.7,6.34
Cape Verde,CPV,2017,,,16.41,,668,450,7.1,5.4,8,12.24
Central African Republic,CAF,2017,,,,,107,,112.6,9,7.5,3.74
Chad,TCD,2017,,,16.36,,87,,19.4,9.4,8.8,1.85
Chile,CHL,2017,46.6,8.6,21.3,96.4,6450,4372,41.1,3.2,3.8,6.96
China,CHN,2017,,3.1,,,60740,38559,74.7,5.9,4.9,4.44
Colombia,COL,2017,49.7,26.9,16.14,,3631,5882,78.9,6.9,6.2,8.87
Comoros,COM,2017,,,,,28,61,84.8,6.7,7.4,4.38
Costa Rica,CRC,2017,48.3,20,30.15,,2960,3826,44.1,3.6,4.1,8.14
Croatia,HRV,2017,,19.4,,,15593,11128,5.6,3.5,4.7,11.21
Cuba,CUB,2017,,,,,4594,3302,64.6,5.2,5.2,1.7
Cyprus,CYP,2017,,,,,3652,3274,62.6,4.4,4,11.05
Czech Republic,CZE,2017,,,,,10160,7695,4.1,2.6,2.8,2.89
Democratic Republic of the Congo,COD,2017,,,14.01,,,6,11,9,6.6,4.27
Denmark,DNK,2017,,,,,12426,8508,21.5,1.7,1.9,5.74
Djibouti,DJI,2017,41.6,21.1,13.25,,,36,88.9,6.5,5.4,10.38
Dominica,DMA,2017,,,,,72,161,,,,0
Dominican Republic,DOM,2017,,25.6,,,6188,7184,69,5.8,7.1,5.83
Ecuador,ECU,2017,44.7,21.5,,92.83,1806,1554,77.3,6.8,5.8,3.84
Egypt,EGY,2017,,32.5,,71.17,8157,8636,89.8,8.1,4.7,11.74
El Salvador,SLV,2017,38,29.2,15.59,88.48,1556,1227,73.1,7.3,7.9,4.39
Estonia,EST,2017,,,,,3244,2126,44.7,3.3,4,5.76
Ethiopia,ETH,2017,,,,51.77,933,2505,11.1,8.4,7.6,2.12
Euro area,XM,2017,,,16.01,62.75,,,#N/A,#N/A,#N/A,3.95
Fiji,FJI,2017,,,,99.08,843,1243,76.9,7.1,8.2,4.24
Finland,FIN,2017,,,,,3180,5207,18.7,1.7,2.3,8.64
France,FRA,2017,,,,,86758,67936,33.5,3.3,2.2,9.4
Gabon,GAB,2017,38,33.4,,,,,73.8,5.2,6.1,19.98
Gambia,GMB,2017,,,,,522,116,89.4,6.3,8.3,9.14
Georgia,GEO,2017,37.9,21.9,12.95,99.36,4069,2971,76.5,6.8,4.9,13.94
Germany,DEU,2017,,,,,37452,56330,28.1,2.1,2.1,3.75
Ghana,GHA,2017,,,20.1,,,919,69.7,3.8,8.2,4.22
Greece,GRC,2017,,,,,27194,19139,57.5,4.5,3.3,21.49
Grenada,GRD,2017,,,14.04,,168,482,61.5,5.7,8.4,0
Guatemala,GTM,2017,,,23.09,,1660,1571,83.1,7.6,7.3,2.46
Guinea,GIN,2017,,,13.38,,99,17,12.4,8.8,7.4,4.32
Guinea-Bissau,GNB,2017,,,,,,16,99.5,8.9,8.1,2.5
Guyana,GUY,2017,,,17.64,,247,95,71.3,6.4,9.4,12.04
Haiti,HTI,2017,,,15.37,,467,460,15.3,7.7,8.8,13.73
Honduras,HND,2017,50.5,49.8,,,851,722,79.1,7.3,6.4,5.53
Hong Kong,HKG,2017,,,17.84,,27884,38170,,,,3.09
Hungary,HUN,2017,,,,,15785,8448,52,2.7,3.3,4.16
Iceland,ISL,2017,,,,,2225,3024,22.5,1,2.8,2.74
India,IND,2017,,,,,15543,27878,77.9,7.4,6.1,5.42
Indonesia,IDN,2017,38.1,10.6,,,14040,14691,72.9,6.2,6.9,4.18
Iran,IRN,2017,,,20.04,,4867,4632,85.8,7.5,6.5,12.1
Iraq,IRQ,2017,,,,85.6,,2959,15.4,1,7.7,13.02
Ireland,IRL,2017,,,,,10338,14294,22.3,2.1,2.8,6.71
Israel,ISR,2017,,,,,3613,7578,78.9,6.9,3.8,4.22
Italy,ITA,2017,,,,,58253,46719,45.2,4.5,2,11.21
Ivory Coast,CIV,2017,,,20.68,,1800,508,96.5,7.7,7.3,3.27
Jamaica,JAM,2017,,,18.4,,2353,2809,65.2,6.9,8.4,11.63
Japan,JPN,2017,,,,,28691,36978,37.4,1.6,3.2,2.8
Jordan,JOR,2017,,,12.07,,3844,5549,78.7,5.7,4.2,15.11
Kazakhstan,KAZ,2017,27.5,2.5,11.42,,7701,2356,65.9,5.2,3.6,4.9
Kenya,KEN,2017,,,17.71,,1364,1564,96.4,8.3,7.6,2.69
Kiribati,KIR,2017,,,,,6,4,,,,0
Kuwait,KWT,2017,,,,96.04,7407,643,58.5,4.2,3.6,1.8
Kyrgyzstan,KGZ,2017,27.3,25.6,15.73,,421,480,8.3,6.5,7,6.89
Laos,LAO,2017,,,,,3257,655,82.4,5.5,7.7,0.66
Latvia,LVA,2017,,,,,1949,951,46.4,3,4.8,8.72
Lebanon,LBN,2017,,,,,1857,8086,88.2,8.7,5,6.22
Lesotho,LSO,2017,,49.7,15.12,,1137,23,81.7,6.2,8,24.13
Liberia,LBR,2017,,,8.26,48.3,,,93.8,6.4,7.2,3
Liechtenstein,LIE,2017,,,,,79,,,,,0
Lithuania,LTU,2017,,,,,2523,1325,41.7,3.1,4.4,7.07
Luxembourg,LUX,2017,,,,,1046,4993,23.4,1.7,2.1,5.52
Macao,MAC,2017,,,13.48,,17255,36465,,,,2
Macedonia,MKD,2017,,22.2,,,631,331,66.1,5.6,5.2,22.38
Madagascar,MDG,2017,,,,,255,849,84,7.1,6.7,1.73
Malawi,MWI,2017,,,14.34,,837,35,88,4.8,7.9,5.71
Malaysia,MYS,2017,,,21.68,95.08,25948,20311,65.4,6.3,5,3.41
Maldives,MDV,2017,,,,,1390,2771,74.4,6.4,6.2,5.98
Mali,MLI,2017,,,16.53,,11,206,92.9,9,8.5,7.33
Malta,MLT,2017,,,,,2274,1746,38.6,3.6,3.7,4
Mauritania,MRT,2017,,,,53.5,,24,93.7,6.9,6.9,9.58
Mauritius,MUS,2017,,10.3,19.93,,1342,2005,41.7,2.3,4.4,6.75
Mexico,MEX,2017,,,,94.97,39291,22467,74.3,8.4,5.8,3.42
Moldova,MDA,2017,25.9,,18.33,,145,443,72,6.1,6.6,4.1
Monaco,MCO,2017,,,6.98,,355,,,,,0
Mongolia,MNG,2017,,,12.65,,469,462,56.7,3.6,3.3,6.36
Montenegro,MNE,2017,,,,,1877,1110,55.7,4,4,16.07
Morocco,MAR,2017,,,,,11349,9086,74.9,5.8,8.2,9.19
Mozambique,MOZ,2017,,,18.33,60.66,1447,164,89,6.7,8,3.31
Namibia,NAM,2017,,,,,1499,449,7.4,5.5,7.1,21.57
Nepal,NPL,2017,,,17.1,,940,712,91,6.5,6.5,1.4
Netherlands,NLD,2017,,,,,17924,23414,27.4,1.5,2.6,4.84
New Caledonia,NCL,2017,,,,,121,,,,,13.25
New Zealand,NZL,2017,,,,,3555,10594,22.6,1.2,2.1,4.7
Nicaragua,NIC,2017,,,,,1787,841,77.4,5.6,8.1,3.3
Niger,NER,2017,,,13.22,,164,91,97.4,8.7,7.5,0.49
Nigeria,NGA,2017,,,,,,2615,11.6,9.2,7.2,8.39
Norway,NOR,2017,,,,,6252,6840,2.5,2,1.6,4.16
Oman,OMN,2017,,,,95.58,2316,2717,52.5,4.2,2.5,3.02
Pakistan,PAK,2017,,,14.54,59.13,,866,98.9,9.1,7.2,3.94
Palau,PLW,2017,,,,,123,123,,,,0
Palestine,PS,2017,,,,,503,225,,,,25.68
Panama,PAN,2017,49.9,,,,1843,6824,5.7,5.4,4.6,3.9
Papua New Guinea,PNG,2017,,,10.7,,139,15,86.4,7.2,7.4,2.48
Paraguay,PRY,2017,48.8,26.4,,,1584,399,71.6,6.6,5.8,4.61
Peru,PER,2017,43.3,21.7,18.24,94.15,4032,4573,7.3,7.1,7.3,3.46
Philippines,PHL,2017,,,,,6621,8349,84.4,9.7,6.5,2.55
Poland,POL,2017,,14.8,,,18258,14083,4.8,1.8,4.5,4.89
Portugal,PRT,2017,,,,,15432,21586,29,1.3,2.2,8.87
Puerto Rico,PRI,2017,,,,92.39,3513,3848,,,,10.8
Qatar,QAT,2017,,,8.56,93.46,2257,15757,44,2.6,2.6,0.14
Republic of the Congo,COG,2017,,,15.68,,149,,93.4,7.2,7.4,9.76
Romania,ROU,2017,,23.6,,,10926,3008,5.9,3,4.5,4.93
Russia,RUS,2017,,13.2,,,24390,14983,79.2,8.9,4,5.21
Rwanda,RWA,2017,,,11.08,,,548,9.8,6.2,7.4,1.06
Saint Lucia,LCA,2017,,,,,386,875,,,,21.07
Saint Vincent and the Grenadines,VCT,2017,,,18.95,,76,216,,,,19.05
Samoa,WSM,2017,,,,,146,167,67.1,4.7,9.5,8.44
San Marino,SMR,2017,,,13.1,,78,,,,,0
Sao Tome and Principe,STP,2017,,,18.4,,29,66,72.1,5,8.5,13.27
Saudi Arabia,SAU,2017,,,,95.33,16109,15020,71.2,6.3,3.8,5.89
Senegal,SEN,2017,,,21.05,51.9,1365,468,82.3,6.2,8,6.61
Serbia,SRB,2017,,24.3,9.26,,1497,1706,7,5.5,5.3,13.48
Seychelles,SYC,2017,,,,,350,585,59.4,6.1,5.9,0
Sierra Leone,SLE,2017,,,19.89,,51,39,89.3,4.3,8.5,4.5
Singapore,SGP,2017,,,,97.2,13903,19891,32.5,1.6,3.3,4.2
Slovakia,SVK,2017,,,,,2162,3024,44.3,1.8,4.2,8.13
Slovenia,SVN,2017,,,,,3991,3057,32.4,1.6,3.1,6.56
Solomon Islands,SLB,2017,,,,,26,79,84.8,5.9,6.9,0.64
South Africa,ZAF,2017,,,18.72,87.05,10285,9706,72.3,6.1,5.5,27.07
South Korea,KOR,2017,,,,,13336,17173,38.1,2.1,3.9,3.7
Spain,ESP,2017,,,,,81869,75906,37.9,2.8,1.9,17.22
Sri Lanka,LKA,2017,,,14.5,91.9,2116,5083,86.6,7.4,7.7,4.18
Sudan,SDN,2017,,,,,813,1029,11.6,9,8.9,17.06
Suriname,SUR,2017,,,,,278,61,65.9,4.9,6.8,7.08
Swaziland,SWZ,2017,,58.9,,,921,13,88.8,6.3,7.2,22.54
Sweden,SWE,2017,,,,,7054,14168,22.1,2.1,1.5,6.72
Switzerland,CHE,2017,,,,,9889,19654,21.1,1.1,2.1,4.8
Tajikistan,TJK,2017,,29.5,,,431,172,81.8,6.7,6.2,11.27
Tanzania,TZA,2017,,,24.4,,1275,2265,8.3,5.5,7.6,2.03
Thailand,THA,2017,36.5,7.9,,,35592,57057,76.2,9,4.7,0.83
Togo,TGO,2017,,,23.14,,514,245,83.9,6.5,7.5,2.13
Tonga,TON,2017,,,,,63,49,,,,1.08
Trinidad and Tobago,TTO,2017,,,,,395,717,56.7,6.3,8.1,2.71
Tunisia,TUN,2017,,,,,7052,1782,74.2,8.3,6.1,15.38
Turkey,TUR,2017,,13.9,,96.15,37601,31870,8.8,8.3,3.9,10.82
Tuvalu,TUV,2017,,,,,3,,,,,0
Uganda,UGA,2017,,,12.46,,1402,957,96,7.1,7.6,1.79
Ukraine,UKR,2017,,2.4,13.05,,,,74,7.6,5.2,9.51
United Arab Emirates,ARE,2017,,,,,20394,21048,43.7,3.1,2.5,2.46
United Kingdom,GBR,2017,,,,,37651,47719,33.2,2.7,2.1,4.34
