Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,0.1743,0.1744,0.2126,0.2365,0.2518,0.2414,0.2846,0.2983,0.285,0.2782,2.4356
Albania,ALB,1.1951,1.6405,1.2297,1.2347,1.2217,1.2683,1.2773,1.9953,2.2111,1.2164,2.4356
United Arab Emirates,ARE,1.4053,1.6405,1.5177,1.4195,1.4369,1.4767,1.7413,1.9953,2.2111,2.371,2.4356
Argentina,ARG,2.6724,2.7432,2.7679,3.21,2.8677,2.8968,3.9385,2.8928,2.9143,4.0013,3.9901
Armenia,ARM,2.6724,2.7432,2.7679,2.8419,2.8677,2.8968,2.9031,2.8928,2.9143,3.5672,4.4023
Australia,AUS,2.9954,3.0056,3.1085,3.3429,3.2878,3.2858,3.353,3.4314,3.4886,3.5672,3.6778
Austria,AUT,4.5528,4.6169,4.706,4.8016,4.8398,4.8859,4.9744,5.0359,5.1035,5.1234,5.1697
Azerbaijan,AZE,3.7124,3.6844,3.6751,3.6629,3.4376,3.4901,3.4558,3.446,3.0138,3.0679,3.0709
Belgium,BEL,2.8855,2.9021,2.9078,2.9085,2.9219,2.9393,2.9585,2.9723,3.0138,3.0679,3.0709
Benin,BEN,0.3293,0.0623,0.0446,0.0558,0.0577,0.1646,0.1849,0.0487,0.0657,0.0481,0.0847
Burkina Faso,BFA,0.3293,0.0322,0.0446,0.0457,0.0386,0.0475,0.047,0.0487,0.0657,0.0645,0.0847
Bangladesh,BGD,0.3293,0.342,0.3544,0.3635,0.3839,0.4001,0.4218,0.4887,0.4858,0.4974,0.5433
Bulgaria,BGR,3.68,3.6488,3.7401,3.7661,3.8467,3.8995,3.963,3.975,4.0332,1.5901,2.1652
Bahrain,BHR,1.0155,0.9896,0.9695,0.9493,0.9451,0.9570000000000001,0.9536,0.9573,0.9257,1.5901,2.1652
Bosnia and Herzegovina,BIH,1.6429,1.6714,1.7380000000000002,1.7987,1.8794,1.949,2.0355,2.1326,2.1616,1.5901,2.1652
Belarus,BLR,3.5306,3.1477,3.2845,3.2498,4.7611,4.8352,4.8534,5.012,5.1905,1.5901,2.1652
Bolivia,BOL,0.3316,1.7802,1.8171,0.4385,0.4671,0.4015,1.882,2.4961,2.5388,1.5901,2.1652
Brazil,BRA,1.7306,1.7802,1.8171,1.8139,1.8491,0.4015,1.882,2.4961,2.5388,0.5269,2.1652
Botswana,BWA,0.37799999999999995,0.3738,0.3547,0.4122,0.4064,0.4015,2.4509,2.4961,2.5388,0.5269,2.6102
Canada,CAN,1.0365,1.959,1.0294,2.0384,1.5854,2.3962,2.4509,2.4961,2.5388,2.3105,2.6102
Chile,CHL,1.0365,1.0389,1.0294,1.4333,1.5854,1.7471,1.8806,2.0278,2.147,2.2937,2.4411
China,CHN,1.2676,1.3166,1.3922,1.4532,1.4637,1.5367,1.6332,1.6877,1.7732,1.8647,1.9798
Cameroon,CMR,0.0704,1.5428,0.068,0.0842,0.0881,1.74,1.8431,1.8534,1.9742,2.0335,2.1064
Congo (Brazzaville),COG,0.1035,1.5428,1.5668,0.1156,0.1645,1.74,1.8431,1.8534,1.9742,2.0335,2.1064
Colombia,COL,1.5192,1.5428,1.5668,1.5917,1.6966,1.74,1.8431,1.8534,1.9742,2.0335,2.1064
