Country name,Code,year,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Blue Index,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min)
Afghanistan,AFG,2017,2.66,7.47,0.49,52.8,0.43,-0.11,0.95,11.368682574974331,5.25,4279.0,5.25,2.4356,18.8,
Albania,ALB,2017,4.64,9.38,0.64,68.4,0.75,-0.03,0.88,12.429743623473337,5.86,2898.0,5.86,2.4356,32.9,
Argentina,ARG,2017,6.04,9.85,0.91,68.6,0.83,-0.18,0.84,9.348585296646,11.35,4117.0,11.35,2.4356,31.7,418.0
Armenia,ARM,2017,4.29,9.08,0.7,66.6,0.61,-0.13,0.86,13.028894558098333,9.97,3296.0,9.97,3.9901,35.1,
Australia,AUS,2017,7.26,10.71,0.95,73.3,0.91,0.31,0.41,21.401650391404335,12.76,5396.0,12.76,4.4023,38.7,453.0
Austria,AUT,2017,7.29,10.73,0.91,72.7,0.89,0.14,0.52,13.222802217948,16.17,3700.0,16.17,3.6778,44.0,441.0
Azerbaijan,AZE,2017,5.15,9.68,0.79,65.2,0.73,-0.24,0.65,6.756014910783334,4.22,2751.0,4.22,5.1697,31.3,
Bahrain,BHR,2017,6.23,10.68,0.88,68.5,0.91,0.13,,23.63822486572633,4.96,5646.0,4.96,3.0709,32.3,
Bangladesh,BGD,2017,4.31,8.2,0.71,63.8,0.9,0.02,0.64,20.776264034830003,5.95,4895.0,5.95,3.0709,26.7,
Belarus,BLR,2017,5.55,9.75,0.9,65.8,0.62,-0.13,0.65,26.764005508861327,24.83,5206.0,24.83,0.0847,40.0,
Belgium,BEL,2017,6.93,10.66,0.92,71.8,0.86,0.06,0.54,33.105525316886,18.83,4967.0,18.83,0.0847,41.4,450.0
Benin,BEN,2017,4.85,7.63,0.44,53.9,0.73,-0.04,0.77,9.20090340757,5.99,3285.0,5.99,0.5433,18.2,
Bolivia,BOL,2017,5.65,8.82,0.78,63.3,0.88,-0.11,0.82,11.155285961561331,5.79,3558.0,5.79,2.1652,24.3,
Bosnia and Herzegovina,BIH,2017,5.09,9.42,0.78,67.5,0.56,0.09,0.92,13.027697112572335,9.17,3242.0,9.17,2.1652,42.1,
Botswana,BWA,2017,3.5,9.69,0.77,58.2,0.82,-0.25,0.73,10.944798359340666,8.77,4506.0,8.77,2.1652,24.5,
Brazil,BRA,2017,6.33,9.56,0.9,66.2,0.76,-0.18,0.79,51.45601303693665,6.68,4457.0,6.68,2.1652,32.0,416.0
Bulgaria,BGR,2017,5.1,9.83,0.94,66.6,0.69,-0.15,0.91,38.71331255491,14.11,3726.0,14.11,2.1652,42.7,434.0
Burkina Faso,BFA,2017,4.65,7.44,0.78,53.4,0.61,-0.05,0.73,14.941980987371668,7.14,3328.0,7.14,2.1652,17.3,
Cambodia,KHM,2017,4.59,8.2,0.77,61.2,0.96,0.09,0.82,12.591646113831,4.1,2825.0,4.1,2.6102,25.3,
Cameroon,CMR,2017,5.07,8.11,0.69,51.9,0.77,-0.03,0.84,10.403415775155333,7.82,3486.0,7.82,2.6102,18.5,
Canada,CAN,2017,7.41,10.69,0.93,73.4,0.95,0.16,0.36,11.216087901686668,12.83,3983.0,12.83,2.4411,42.2,443.0
Chad,TCD,2017,4.56,7.47,0.66,47.7,0.61,-0.0,0.79,12.378131209914999,5.2,3261.0,5.2,1.9798,17.8,
Chile,CHL,2017,6.32,10.01,0.88,69.8,0.79,-0.02,0.84,19.276431095923336,11.5,4740.0,11.5,2.1064,34.4,417.0
China,CHN,2017,5.1,9.63,0.77,69.0,0.88,-0.19,,18.595467761258334,9.1,3744.0,9.1,2.1064,37.4,424.0
Colombia,COL,2017,6.16,9.49,0.91,67.4,0.84,-0.16,0.88,14.583395463356664,5.76,2797.0,5.76,2.1064,30.0,408.0
Congo (Brazzaville),COG,2017,4.88,8.54,0.66,57.3,0.78,-0.17,0.76,13.197465724948337,9.42,4416.0,9.42,2.9533,31.3,
Costa Rica,CRC,2017,7.23,9.64,0.92,71.1,0.94,-0.07,0.74,29.128344666870003,8.5,3724.0,8.5,4.0676,43.0,423.0
Croatia,HRV,2017,5.34,10.04,0.77,69.6,0.72,-0.1,0.89,14.896991727192333,16.55,4154.0,16.55,4.0676,36.8,437.0
Cyprus,CYP,2017,6.06,10.41,0.82,73.5,0.81,0.04,0.85,13.524559945923336,5.58,3739.0,5.58,4.2488,42.1,
Czech Republic,CZE,2017,6.79,10.39,0.9,69.8,0.83,-0.17,0.87,8.707840887710669,14.32,3810.0,14.32,1.56,42.2,
Denmark,DNK,2017,7.59,10.76,0.95,72.1,0.96,0.16,0.18,16.313186521346335,12.12,3716.0,12.12,1.56,28.1,
Dominican Republic,DOM,2017,5.61,9.61,0.89,65.5,0.86,-0.12,0.76,26.579360349911326,5.13,3510.0,5.13,0.7993,27.7,
Ecuador,ECU,2017,5.84,9.25,0.85,68.2,0.88,-0.17,0.73,32.92713846552434,8.86,3725.0,8.86,0.7993,23.9,
Egypt,EGY,2017,3.93,9.28,0.64,61.4,0.59,-0.16,,23.416449289915327,4.93,3927.0,4.93,3.8723,27.1,399.0
El Salvador,SLV,2017,6.34,8.89,0.83,65.8,0.76,-0.17,0.78,10.981097086446335,10.07,3759.0,10.07,3.4629,42.7,
Estonia,EST,2017,5.94,10.31,0.94,68.4,0.86,-0.1,0.67,24.163806209176663,16.7,5135.0,16.7,3.2565,42.5,446.0
Finland,FIN,2017,7.79,10.63,0.96,71.8,0.96,-0.0,0.19,19.020795759734,15.73,5173.0,15.73,3.2565,41.4,456.0
France,FRA,2017,6.64,10.57,0.93,73.6,0.83,-0.12,0.6,12.175850232815998,16.84,5299.0,16.84,0.6819,18.6,448.0
Gabon,GAB,2017,4.78,9.69,0.81,59.2,0.65,-0.24,0.87,12.887509313306664,9.29,4636.0,9.29,2.7863,38.1,
Georgia,GEO,2017,4.45,9.18,0.59,64.7,0.82,-0.23,0.59,19.829305959352,9.35,3473.0,9.35,6.1297,47.1,
Germany,DEU,2017,7.07,10.72,0.89,71.9,0.84,0.15,0.41,17.851830622345666,14.66,4497.0,14.66,0.1359,21.1,438.0
Ghana,GHA,2017,5.48,8.31,0.67,56.8,0.78,0.09,0.84,15.920645370933334,6.32,3405.0,6.32,5.4789,44.5,
Greece,GRC,2017,5.15,10.11,0.75,72.2,0.44,-0.29,0.87,34.164114149826666,4.98,5050.0,4.98,5.4789,22.1,436.0
Guatemala,GTM,2017,6.33,8.91,0.83,64.5,0.91,-0.06,0.8,32.652697415629326,5.67,3605.0,5.67,0.3089,18.9,
Guinea,GIN,2017,4.87,7.7,0.63,53.3,0.74,0.04,0.75,11.897043586567333,6.31,3278.0,6.31,0.3089,23.0,
Haiti,HTI,2017,3.82,7.41,0.65,55.5,0.48,0.38,0.65,29.62953795738667,7.07,3484.0,7.07,0.3089,23.0,
Honduras,HND,2017,6.02,8.4,0.84,67.0,0.9,0.08,0.78,14.272997348696,3.71,2987.0,3.71,3.3447,44.4,
Hong Kong S.A.R. of China,HKG,2017,5.36,10.93,0.83,,0.83,0.13,0.42,25.004105056807667,,,,3.3447,42.3,
