Country name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,0.17899304628372192,0.2012282758951187,0.13157793879508972,0.17345161736011505,0.24694320559501648,0.07203268259763718,0.11490637063980103,0.09077954292297363,0.05318796634674072,-0.11038155108690262,-0.08231879025697708,-0.09654892235994339
Albania,,,-0.009071795269846916,,-0.15795575082302094,-0.17239166796207428,-0.20491552352905273,-0.16920457780361176,-0.12756776809692383,-0.025046324357390404,-0.08126018941402435,-0.017473436892032623,-0.029357222840189934,0.008336669765412807,-0.10078410804271698
Algeria,,,,,,-0.22592315077781677,-0.20126432180404663,-0.19273394346237183,,0.0,,0.0,-0.18774977326393127,-0.16740299761295319,-0.017092421650886536
Angola,,,,,,,0.061985328793525696,-0.12940266728401184,-0.0969068855047226,-0.16108842194080353,,,,,
Argentina,,-0.14922593533992767,-0.13342809677124023,-0.1242230162024498,-0.12233243882656097,-0.11839669197797775,-0.1667696237564087,-0.14035704731941223,-0.12288219481706619,-0.15686973929405212,-0.1665857583284378,-0.1844516545534134,-0.17852172255516052,-0.20315320789813995,-0.20261475443840027
Armenia,,-0.21455992758274078,-0.2349059283733368,-0.19916163384914398,-0.19772003591060638,-0.15979206562042236,-0.20918774604797363,-0.19899633526802063,-0.17932561039924622,-0.20235393941402435,-0.18653541803359985,-0.15432994067668915,-0.1308402419090271,-0.14665019512176514,
Australia,0.0,,0.34404465556144714,0.302262544631958,,0.3137113153934479,0.36629390716552734,0.27057358622550964,0.26568934321403503,0.31542283296585083,0.3286537528038025,0.23524387180805206,0.3140246868133545,0.14323507249355316,0.11762167513370514
Austria,,0.30622002482414246,,0.2950839102268219,,0.1346990168094635,0.13535234332084656,0.12157544493675232,0.17202697694301605,0.1213882640004158,0.10258261114358902,0.08345643430948257,0.13669559359550476,0.056910619139671326,0.06328082829713821
Azerbaijan,,-0.2513014078140259,-0.22364746034145355,-0.04632311686873436,-0.10384150594472885,-0.14020851254463196,-0.12148120254278183,-0.15690270066261292,-0.18479026854038239,-0.22521065175533295,-0.21476687490940094,-0.2211456298828125,-0.24178460240364075,-0.24819540977478027,-0.23150309920310974
Bahrain,,,,,0.03490935266017914,-0.0030920091085135937,-0.053865499794483185,0.0,0.0,0.0,0.10940727591514587,0.0855809822678566,0.13372918963432312,,
Bangladesh,,0.07255182415246964,0.04453998804092407,-0.03949099779129028,-0.07042158395051956,-0.012159304693341255,-0.06536555290222168,-0.030447766184806824,-0.011699981056153774,-0.09439223259687424,-0.06474121659994125,-0.08509983867406845,0.015172433108091354,-0.03986810892820358,-0.047552045434713364
Belarus,,-0.24935773015022278,-0.22827713191509247,-0.22363674640655518,-0.20660211145877838,-0.16627468168735504,-0.17171387374401093,-0.22107332944869995,-0.18127112090587616,-0.05206473171710968,-0.09512234479188919,-0.12923668324947357,-0.12533225119113922,-0.17822664976119995,-0.1900758147239685
Belgium,0.0,,0.07127951085567474,0.008513896726071835,,0.024106044322252274,-0.012421652674674988,-0.04797600209712982,0.01897262968122959,0.003845448372885585,0.06490544229745865,-0.05312977358698845,0.057111334055662155,-0.12181229889392853,-0.16873380541801453
Belize,,,0.01995770074427128,,,,,,,0.008542167022824287,,,,,
Benin,,0.011993168853223324,,0.018799535930156708,,,-0.11910805851221085,-0.0882125049829483,-0.061730146408081055,-0.0726984441280365,-0.0038466090336441994,-0.04272615164518356,-0.042791202664375305,0.02418486587703228,0.006048574112355709
Bhutan,,,,,,,,,0.35875406861305237,0.27395954728126526,0.2834285795688629,,,,
Bolivia,,-0.03535525128245354,0.009464731439948082,-0.08297275751829147,-0.027386028319597244,-0.05978897958993912,-0.030569950118660927,-0.006271033547818661,-0.05831414833664894,0.026317700743675232,-0.02108442224562168,-0.038354311138391495,-0.11202117055654526,-0.08455248922109604,-0.07862667739391327
Bosnia and Herzegovina,,,0.007694173138588667,,-0.02383938618004322,-0.12623873353004456,-0.03306688740849495,-0.010988246649503708,0.04337761551141739,0.2333260178565979,-0.053145330399274826,0.1352350264787674,0.09237097948789597,0.12424907088279724,0.07965467870235443
Botswana,,-0.1977991908788681,,-0.1675950139760971,,-0.1460215002298355,-0.2532234787940979,-0.2060859054327011,-0.15756593644618988,-0.1083180159330368,-0.11963708698749542,-0.2561380863189697,-0.25131916999816895,-0.25758662819862366,-0.24311563372612
Brazil,0.0,,-0.02285289391875267,-0.08433141559362411,-0.061907652765512466,-0.060707636177539825,-0.07911564409732819,0.0,-0.10150157660245895,-0.12198574841022491,-0.02231738716363907,-0.1069948598742485,-0.1816277951002121,-0.12336495518684387,-0.06810031831264496
Bulgaria,,,-0.13600368797779083,,,-0.14291003346443176,-0.2262154370546341,-0.1700991988182068,-0.18924051523208618,-0.05310038849711418,-0.1978132575750351,-0.16832439601421356,-0.15254060924053192,-0.17463341355323792,-0.10683713853359222
Burkina Faso,,0.037187766283750534,-0.05224364995956421,-0.094007208943367,,-0.027303248643875122,-0.09577406942844391,-0.06084593012928963,-0.00713349087163806,0.005000344943255186,0.012270663864910603,0.008135749027132988,-0.05469273030757904,-0.0044736238196492195,0.004316683858633041
Burundi,,,,-0.012686640955507755,-0.01307644508779049,,-0.05626517906785011,,,-0.05268225073814392,,,,-0.017551597207784653,
Cambodia,,0.2550917863845825,0.1152929738163948,0.045160774141550064,0.15222127735614777,0.34953707456588745,0.4181019961833954,0.24625636637210846,0.16330714523792267,0.23878803849220276,0.20940448343753815,0.07531324774026871,0.08702883124351501,0.03452125936746597,0.012114056386053562
