Country name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,0.8816863298416138,0.8500354290008545,0.7067660689353943,0.731108546257019,0.7756198048591614,0.8232041001319885,0.8712419867515564,0.8806383013725281,0.7932455539703369,0.9543925523757935,0.9276056885719299,0.9238491058349609
Albania,,,0.8746995329856873,,0.8636654019355774,0.7262616753578186,0.8770025968551636,0.8476752042770386,0.862904965877533,0.8827044367790222,0.8847930431365967,0.901070773601532,0.8761346340179443,0.8991293907165527,0.9142842888832092
Algeria,,,,,,0.6180378794670105,0.637981653213501,0.6901163458824158,,0.0,,0.0,0.6997742056846619,0.7587041258811951,0.740609347820282
Angola,,,,,,,0.9113203287124634,0.9063004851341248,0.8163754940032959,0.8340756297111511,,,,,
Argentina,,0.851799488067627,0.8810577392578125,0.8649962544441223,0.8847422003746033,0.8546954393386841,0.7546457052230835,0.8165462017059326,0.8229002952575684,0.8541916012763977,0.8509061932563782,0.8509244918823242,0.8410524725914001,0.8552552461624146,0.8304597735404968
Armenia,,0.8495131134986877,0.8174448609352112,0.8760992288589478,0.8818874955177307,0.890629231929779,0.8746010065078735,0.8925443887710571,0.8997967839241028,0.9203904867172241,0.901462197303772,0.9214210510253906,0.8646833300590515,0.6768263578414917,
Australia,0.3904159367084503,,0.5125784873962402,0.43081051111221313,,0.3661274015903473,0.3817717432975769,0.3682517409324646,0.43153902888298035,0.44202136993408203,0.35655438899993896,0.39854511618614197,0.41134652495384216,0.40464749932289124,0.43020865321159363
Austria,,0.49011117219924927,,0.6136252284049988,,0.5461448431015015,0.7027209997177124,0.7705857753753662,0.6789368987083435,0.5669313073158264,0.5574796199798584,0.5236409902572632,0.5183038115501404,0.5230605602264404,0.4570888876914978
Azerbaijan,,0.7741171717643738,0.8709099888801575,0.7151247262954712,0.7538497447967529,0.8583466410636902,0.795119047164917,0.7631548047065735,0.6988195776939392,0.6538453102111816,0.615552544593811,0.6067708134651184,0.6525390148162842,0.5612062811851501,0.4572606682777405
Bahrain,,,,,0.5061039328575134,0.7146201729774475,0.582522451877594,0.43791526556015015,0.5247032642364502,0.0,0.0,0.0,0.0,,
Bangladesh,,0.7859162092208862,0.8061168789863586,0.801819920539856,0.7760039567947388,0.7735304832458496,0.7570026516914368,0.764894425868988,0.7427741885185242,0.7893747091293335,0.7206009030342102,0.6878536343574524,0.6350144743919373,0.7014212012290955,0.6560046076774597
Belarus,,0.7082747220993042,0.69484943151474,0.6964959502220154,0.6755430698394775,0.7061206102371216,0.6719386577606201,0.6574302315711975,0.6530391573905945,0.6815087199211121,0.6686781644821167,0.6640551686286926,0.6541134119033813,0.7184554934501648,0.5459047555923462
Belgium,0.5975544452667236,,0.721093475818634,0.6518005132675171,,0.6973655819892883,0.7110438942909241,0.7575725317001343,0.5736643075942993,0.5119757652282715,0.4687846302986145,0.4966591000556946,0.5430460572242737,0.6304118037223816,0.6724975109100342
Belize,,,0.7689844369888306,,,,,,,0.7821053862571716,,,,,
Benin,,0.7898624539375305,,0.82524573802948,,,0.8494722247123718,0.8059776425361633,0.8559555411338806,0.8548269271850586,0.850098192691803,0.837715744972229,0.7672346234321594,0.7465107440948486,0.6983469724655151
Bhutan,,,,,,,,,0.802428126335144,0.6503384709358215,0.6339557766914368,,,,
