Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,428.402041916,438.113385369,466.220874254,488.77685715800004,487.788019036,482.95621870199994,476.001390828,466.460678764,455.423324225,439.531772054,426.932609235,419.68332399300004,423.58829148,429.958774852,431.525146951,437.43194934300004,439.896668766,446.33187437199996,459.90460598199996,471.02587741599996,481.66749600300005,491.84703739599996,500.966134139,510.66176701600006,516.948891074,519.123077449,520.690075272,521.797724923
Albania,945.890451567,946.04426049,945.9405482289999,945.8314793789999,945.990807545,946.678837208,945.342635783,942.025954651,951.0779395330001,947.8716429210001,934.1873694980001,940.458214975,949.985675513,961.89685497,975.0953032360001,988.341968552,1004.03428629,1023.47106135,1043.65556243,1061.41943803,1073.01709191,1079.92770242,1084.90965684,1089.17965305,1090.49510608,1089.35755751,1087.18165712,1080.73087042
Algeria,425.109562275,429.892118034,435.04997643200005,440.654018624,446.651527361,453.063561807,460.05534853300003,467.77459686599997,475.9055875,484.031332473,491.490148115,498.204604491,504.763443167,511.12221874900007,517.1787493720001,522.8237052630001,528.867594475,535.650895141,542.01390485,546.777395159,548.967768287,548.978449685,547.8113419399998,545.356955025,541.742061802,537.387768315,532.585900108,527.505889938
American Samoa,633.957588331,633.882418763,633.682913478,633.633764378,633.9733148619999,634.927664977,635.74507181,636.568342297,637.228033936,637.635731405,637.797207241,636.8127600290001,635.15668329,633.1687267870001,631.287577099,630.180161763,630.408519265,632.314825002,635.1024254580001,637.949851899,640.2847186820002,642.313404594,644.904297382,648.00233667,651.485629143,655.233538482,659.007640346,662.683674295
Andorra,631.410303367,649.448494987,651.746510049,649.083198647,641.8385484290001,633.799628959,631.0423948060002,629.670299037,627.5295596660002,620.3665878840001,610.0186744609999,601.179777436,594.752995939,603.7906082000001,611.256252923,611.240416408,610.0701053270001,605.6684581510001,598.174948281,586.7551758999999,578.721601642,571.62152445,568.745226687,562.7093390919999,560.373782527,558.062147121,555.130246351,554.7011742130001
Angola,690.0491473339999,688.3302011989999,686.601434475,684.719417647,682.886364288,680.958263947,678.9706112389998,676.769005408,674.298671862,671.833251555,669.4027661519999,666.020906493,661.295967939,656.223077345,651.829594029,649.00630332,647.5964710549998,646.479980674,645.4054039299998,644.289747151,642.8390189840001,641.309524431,640.134424136,639.3948425230001,639.23423363,639.71655417,640.96472606,642.9066538440001
Antigua and Barbuda,1022.70843012,1024.08419194,1025.83794786,1027.90450777,1030.2588943,1032.88830778,1036.62318612,1041.75263399,1047.73907164,1053.96874883,1059.74678241,1065.64963899,1072.31082243,1079.34262081,1086.38349263,1092.96405738,1099.06176013,1104.82779743,1110.19879724,1115.12692581,1119.50215795,1123.33330916,1126.60241607,1129.30668684,1131.40044417,1132.80802454,1133.48593209,1133.29473235
Argentina,825.761533977,859.990173844,891.7585868860001,919.3183219580001,939.40637354,949.5953126610001,953.678803884,956.608727021,958.543586523,959.233766147,959.6953081989999,961.345427188,963.210341405,964.591658766,964.9648160360001,964.5768866510001,951.292018745,919.50073666,880.7636107330001,848.1580547110001,834.9957247850001,836.110250433,837.72671639,839.7491353050002,841.7693684310001,844.0727882360001,847.3011350889999,851.9245971790001
Armenia,1172.62054746,1175.45751636,1176.06444743,1177.04597235,1178.15655152,1178.83031686,1177.68194644,1172.50671352,1166.81733161,1162.0521528299996,1159.66781996,1156.92105397,1150.4411986500004,1144.46902569,1141.77768343,1145.67339072,1156.56435147,1169.68438527,1183.03904622,1193.6581685,1199.50928715,1201.17753935,1200.20378678,1196.82095484,1190.8071554199996,1182.91273992,1173.19941586,1161.79210449
Australia,824.6493653089999,839.678320602,852.8768664319999,863.6492056259999,871.204807746,875.4731257330001,877.787376051,879.778551921,881.430574074,881.4012890560001,879.3870547280001,870.637832499,854.5880654680001,836.406893383,820.7097564810001,811.965192152,808.4944125689999,806.1903093560001,804.8139483799998,803.999177258,803.3938501189999,802.571084945,802.3298337919998,802.7563259190001,803.975742726,805.8474218580002,807.852745767,810.0165265840001
Austria,684.843654336,684.274644708,682.8395408499998,681.318053633,679.908898424,678.952117185,682.157092723,688.8418794869999,696.837014906,703.273954442,705.6678534280001,704.9619272819999,702.3778418649998,699.68176132,696.832919743,694.4527355150002,693.23223797,691.438725312,689.74849715,687.25543629,683.8558042100002,680.407747039,676.1881995619999,671.404914621,666.104771917,660.482898805,654.082183384,646.575950658
Azerbaijan,1130.57887702,1139.90369561,1147.4082300799996,1153.3352562,1158.7475194800004,1162.9004338,1164.98879188,1165.13918454,1165.12112365,1167.88371767,1176.04022658,1188.31449088,1202.05759528,1216.90019149,1233.22129235,1251.3011868,1271.76985232,1294.42484776,1316.19203433,1335.0048322999999,1348.34150447,1356.12994796,1361.47320986,1363.7399738099996,1363.24411507,1360.07961178,1353.44224518,1344.46022271
Bahrain,558.0801658830001,561.3069727430001,560.899992517,559.472266763,559.070750527,561.776365557,569.248996794,575.6247412419999,579.87473152,581.8207508859999,581.968251055,582.11968915,586.2618912080001,596.288795045,612.30453307,624.367690315,629.3270964660002,636.824976331,648.483946906,660.45986711,664.521109434,656.290960759,645.6990900220002,638.021843132,630.075792925,621.2556394119999,608.0731168030001,596.3578846839998
Bangladesh,649.188424447,651.87409763,655.3066279239998,659.4227869929999,664.115461492,669.533966393,675.3565878969999,681.259068475,687.169492148,693.1534054880002,699.4480416189999,706.4932862239999,714.3469640989999,722.5765277180001,730.84494179,738.9477929359999,747.6450219110001,757.4434450210001,767.630987625,777.3847457960001,785.8883712410001,793.4875308750002,801.145801225,808.750307633,816.1649976189999,823.3859296019999,830.319257615,836.841337717
Barbados,895.332782865,898.2667151820001,900.826864614,903.3260552439999,905.8163361039999,908.1687934419999,911.341117173,915.7723930660001,920.153265857,923.1602452230001,923.6482980589999,921.5962390239999,918.399746581,915.0440504019999,912.4111009760001,911.239468253,912.073095983,914.1809164260001,916.3139697610001,917.540866222,917.150352315,915.3632635580001,912.914718988,909.72083082,905.820412461,901.334382035,896.254345208,890.395078022
Belarus,2472.2032385,2468.53161008,2468.429520800001,2470.66571655,2476.09236252,2483.85205106,2498.36960295,2522.22867722,2552.22563584,2584.57520184,2613.46088511,2644.64408916,2681.34728884,2720.55285285,2755.17770605,2777.73417003,2781.80702246,2766.69970385,2744.66159639,2721.95393369,2705.74303918,2695.82355392,2681.51403923,2667.14428065,2651.89309632,2635.87523646,2621.63642463,2608.53911081
Belgium,593.428154287,597.091290395,600.344375311,603.020904996,604.8264761539998,605.4814051019999,605.981913285,606.9301223890001,607.763071157,608.018300178,607.3850684959999,605.240693393,601.819147597,597.761879453,593.748073999,590.609685741,587.2270376380001,582.255460591,576.6516559830001,571.404651844,567.792253078,565.796795633,564.0495526640001,562.595084885,561.224880506,560.192996373,559.844380958,559.6876647299998
Belize,743.789077239,755.7239238760001,767.741459334,779.7783847750002,791.5644418740001,802.6452679820002,814.368578938,827.2682027989999,839.8735740170001,851.0989865089999,859.976637164,867.5173195960001,875.0885734139999,882.3390692149999,888.9982211360001,894.7054168010001,898.9051698610001,901.8350652910001,904.324859477,907.3329486060001,911.822887212,917.681543684,924.0934176789999,931.127815112,938.76376513,946.863449912,955.251948693,963.692962115
Benin,438.707896569,440.42139658800005,442.29837920500006,444.33468987099997,446.61040528700005,449.133499254,451.94967007400004,455.170848172,458.419293822,461.390404732,463.80883855900004,465.656421285,467.20253896800006,468.417518376,469.45521892,470.437102509,471.495546421,472.72882767199997,474.10798569599996,475.70475389300003,477.489221146,479.41700391100005,481.636531541,484.16296842,486.956820699,489.92254059699997,492.984984913,496.18834149300005
