Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448632316,1616875214,1751000102,1923475579,2125718764,2225571920,2293196658,2497125566,2575533537,2645065668,2910162905,2885630117,2835314388,2945022067,3263578415,3406102718,3546046017,3706854374,3775529768,3404108444,3316870714,3502845775,3443753581,3596190779,3623628041,3536556281,3496393462,3578912448,,
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19821201272,21972474899,22883102403,26245649892,28488533288,33298540638,35278625597,43151385722,49924017473,51184181904,59667003515,65039839449,69058343420,71831696728,75330255840,79945392646,82736859540,
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38709462813,40415249610,38922948276,30288915272,31350039762,36808506787,42559247844,46442398479,49168319590,50966301567,53697271709,57183126401,66025701084,69262590991,78917760273,93605933584,1.07575E+11,1.25941E+11,1.42727E+11,1.4505E+11,1.53871E+11,1.62539E+11,1.86427E+11,2.00138E+11,2.20359E+11,2.04639E+11,2.04937E+11,2.17987E+11,2.18533E+11,
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8376972470,6235202599,5918953734,6638413287,7343116902,8495876949,9438719985,8553000294,9451320215,10792640710,11930667493,13163005072,14221917696,15181699766,16414448037,17663341886,19627129386,21609237258,24251549243,25825121071,28067511188,29655397997,30530326608,30604074982,32529196146,33594865824,34736467843,37624046896,39657883612,
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61851E+12,1.69245E+12,1.8179E+12,1.91398E+12,2.0113E+12,2.10757E+12,2.24368E+12,2.3768E+12,2.53673E+12,2.62433E+12,2.82783E+12,2.93748E+12,2.99884E+12,3.20183E+12,3.58784E+12,3.90813E+12,4.27406E+12,4.5851E+12,4.94889E+12,5.02193E+12,5.3254E+12,5.61732E+12,6.07872E+12,6.18752E+12,6.26406E+12,5.70694E+12,5.57296E+12,5.95806E+12,6.24951E+12,
United Arab Emirates,ARE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59488E+11,1.66299E+11,1.75779E+11,1.82213E+11,1.98938E+11,2.16693E+11,2.33455E+11,2.56932E+11,2.60582E+11,2.72016E+11,3.08278E+11,3.19448E+11,3.32397E+11,3.68366E+11,4.14471E+11,4.48132E+11,5.07112E+11,5.37316E+11,5.65252E+11,5.39699E+11,5.54739E+11,6.05575E+11,6.27251E+11,6.41897E+11,6.77479E+11,5.9585E+11,5.92579E+11,6.24319E+11,6.50568E+11,
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34714E+11,2.64813E+11,2.92346E+11,3.23833E+11,3.50051E+11,3.47223E+11,3.73122E+11,4.10342E+11,4.30937E+11,4.22359E+11,4.28394E+11,4.18489E+11,3.78795E+11,4.19926E+11,4.70169E+11,5.27729E+11,5.87452E+11,6.57569E+11,6.97558E+11,6.61276E+11,7.36718E+11,7.97264E+11,8.21943E+11,8.49785E+11,8.37732E+11,8.63497E+11,8.78477E+11,1.03782E+12,1.03672E+12,
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9823681583,8967654990,5338115174,4983706222,5364994237,5855435776,6312383965,6634488454,7198929727,7543862769,8167541620,9144353841,10513870756,12212769406,13854394053,16266799077,18970927789,22158958574,24148688099,20889699219,21598045116,23085520248,28078394200,31734196648,29231465382,35103843480,37749154576,35676528915,38445962298,
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
