Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177.12516,36524.85707,36625.64722,36988.04626,37833.01223,37046.27286,36189.78884,37719.52439,37666.00905,37392.00361,39421.49539,37408.16525,35385.92514,35331.80214,37462.92586,37427.35146,37519.37846,38048.40523,37962.88615,33936.80868,32617.42699,33616.78659,32990.1133,34175.51338,34261.14591,33921.43028,33678.3876,33966.483,
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.900914,1322.141328,1284.127338,1376.686376,1407.708041,1562.876516,1587.79207,1881.777626,2093.743565,2037.608607,2220.481526,2264.317575,2249.253738,2212.750899,2200.764487,2202.570851,2172.832217
Angola,AGO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5758.319779,5625.253085,5125.901214,3772.059953,3701.227593,4121.667846,4531.88992,4707.629832,4771.875976,4720.087782,4707.440565,4746.141079,5218.086148,5195.551814,5568.957968,6183.260578,6652.095738,7309.988772,7830.2314,7610.308823,7692.436912,7675.448432,8036.690287,8140.531208,8239.832077,8036.414093,7568.997225,7310.901738,6924.317368
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4948.387491,3584.274377,3346.903971,3689.290552,4020.211122,4584.025467,5032.351403,4510.944191,4940.257633,5612.486218,6040.935918,6603.41495,6923.93957,7334.226621,7770.751049,8242.543721,8784.106177,9380.013491,10161.18439,10572.59951,11019.08428,11329.99422,11509.59217,11646.23468,11877.46206,12176.40023,12600.1532,13093.65231,13670.1023
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9630.923807,9590.123231,9876.651825,9871.499859,9903.001265,9856.895963,10078.84121,10251.05328,10560.33799,10538.35712,10875.21576,10832.97387,10674.65968,10989.97906,11674.06224,12044.50402,12487.52344,12758.87264,13194.42956,12996.4394,13293.15643,13465.94947,13967.99838,14078.18451,14136.96561,14349.66865,14561.57939,14456.99921,14525.02287
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111214.9527,105875.9666,103248.7158,98765.6837,99997.54629,101353.1919,101991.8839,104883.1793,99885.41652,97488.51328,102274.7157,98409.78337,95702.90917,97584.93388,97548.03579,90699.59418,86240.21891,76455.83118,68650.62724,58249.19525,54803.86584,56002.931,57267.43588,59793.02088,62244.66597,65078.70009,66367.99986,65806.44344,65943.27897
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14144.88628,15221.92642,16209.46508,17312.18216,18092.17773,17362.67291,18104.85744,19347.71142,19866.41468,18981.33467,18625.45126,17610.90588,15523.17229,16714.81568,18032.76846,19426.60683,20777.83367,22424.31869,23103.65834,21520.08108,23521.47623,24647.8452,24119.07881,24424.35041,23550.30537,23934.09628,23189.73059,23562.91883,22745.90378
Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5184.809379,4621.174141,2738.302034,2556.520725,2759.762098,3010.997637,3237.032282,3382.039713,3657.414309,3802.160772,4051.97657,4466.717614,5083.555702,5828.151068,6475.162129,7421.093766,8465.73382,9714.058464,10473.61403,9052.389818,9286.18119,9725.271468,10397.69071,10691.30995,11019.83878,11321.35576,11303.0717,12115.05701,12714.95819
American Samoa,ASM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
