Country,2015 Region,2015 Happiness Rank,2015 Happiness Score,2015 Standard Error,2015 Economy (GDP per Capita),2015 Family,2015 Health (Life Expectancy),2015 Freedom,2015 Trust (Government Corruption),2015 Generosity,2015 Dystopia Residual,2016 Region,2016 Happiness Rank,2016 Happiness Score,2016 Lower Confidence Interval,2016 Upper Confidence Interval,2016 Economy (GDP per Capita),2016 Family,2016 Health (Life Expectancy),2016 Freedom,2016 Trust (Government Corruption),2016 Generosity,2016 Dystopia Residual,2017 Happiness Rank,2017 Happiness Score,2017 Whisker.high,2017 Whisker.low,2017 Economy (GDP per Capita),2017 Family,2017 Health (Life Expectancy),2017 Freedom,2017 Generosity,2017 Trust (Government Corruption),2017 Dystopia Residual,2018 Happiness Rank,2018 Happiness Score,2018 Whisker.high,2018 Whisker.low,2018 Economy (GDP per Capita),2018 Family,2018 Health (Life Expectancy),2018 Freedom,2018 Generosity,2018 Trust (Government Corruption),2018 Dystopia Residual,2019 Happiness Rank,2019 Happiness Score,2019 Economy (GDP per Capita),2019 Family,2019 Health (Life Expectancy),2019 Freedom,2019 Generosity,2019 Trust (Government Corruption),2020 Region,2020 Ladder score (Happiness Score),Standard error of ladder score,2020 upperwhisker,2020 lowerwhisker,2020 Economy (GDP per Capita),2020 Family,2020 Health (Life Expectancy),2020 Freedom,2020 Generosity,2020 Trust (Government Corruption),2020 Dystopia Residual
Switzerland,Western Europe,1,7.587000000000001,0.03411,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,Western Europe,2,7.5089999999999995,7.428,7.59,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,4,7.49399995803833,7.56177242040634,7.42622749567032,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.29054927825927696,0.36700728535652205,2.2767162322998,4,7.49399995803833,7.56177242040634,7.42622749567032,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.29054927825927696,0.36700728535652205,2.2767162322998,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,Western Europe,7.559899807000001,0.035014171000000004,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.9723167419999998
Iceland,Western Europe,2,7.561,0.048839999999999995,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,Western Europe,3,7.501,7.332999999999999,7.669,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,3,7.50400018692017,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.47554022073745705,0.15352655947208402,2.32271528244019,3,7.50400018692017,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.47554022073745705,0.15352655947208402,2.32271528244019,4,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,Western Europe,7.504499912000001,0.059615862,7.6213469510000005,7.387652874,10.77255917,0.9746695759999999,73.0,0.948891878,0.246944219,0.7117097379999999,1.9723167419999998
Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,Western Europe,1,7.526,7.46,7.5920000000000005,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,2,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816863997,2.31370735168457,2,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816863997,2.31370735168457,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,Western Europe,7.645599842,0.033492286,7.711244582999999,7.579955101,10.77400112,0.955990791,72.40250397,0.9514442679999999,0.06620177599999999,0.168489456,1.9723167419999998
Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,Western Europe,4,7.497999999999999,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,1,7.537000179290769,7.59444482058287,7.47955553799868,1.6164631843566901,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.31596383452415505,2.27702665328979,1,7.537000179290769,7.59444482058287,7.47955553799868,1.6164631843566901,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.31596383452415505,2.27702665328979,3,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,Western Europe,7.487999916000001,0.034837384,7.55628109,7.419718742000001,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.26321819399999996,1.9723167419999998
Canada,North America,5,7.4270000000000005,0.03553,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,North America,6,7.404,7.335,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485,7,7.31599998474121,7.3844028353691105,7.24759713411331,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,7,7.31599998474121,7.3844028353691105,7.24759713411331,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,9,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,North America and ANZ,7.23210001,0.04040546,7.311294556,7.152905464,10.69236851,0.927176654,73.60160065,0.9339132309999999,0.124770768,0.390843362,1.9723167419999998
Finland,Western Europe,6,7.406000000000001,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,Western Europe,5,7.412999999999999,7.351,7.475,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,5,7.468999862670901,7.52754207581282,7.41045764952898,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.24548277258873,0.38261154294014,2.4301815032958998,5,7.468999862670901,7.52754207581282,7.41045764952898,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.24548277258873,0.38261154294014,2.4301815032958998,1,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,Western Europe,7.808700085,0.031156305,7.869766235,7.7476339339999996,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019000000004,0.19544458399999998,1.9723167419999998
Netherlands,Western Europe,7,7.377999999999999,0.027989999999999998,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,Western Europe,7,7.3389999999999995,7.284,7.394,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,6,7.3769998550415,7.42742584124207,7.32657386884093,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.47048982977867104,0.282661825418472,2.29480409622192,6,7.3769998550415,7.42742584124207,7.32657386884093,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.47048982977867104,0.282661825418472,2.29480409622192,5,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,Western Europe,7.448900223,0.02779175,7.5033721920000005,7.394428252999999,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.9723167419999998
Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,Western Europe,10,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,9,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,2.09753799438477,9,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,2.09753799438477,7,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,Western Europe,7.353499889,0.036234196,7.424519062000001,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.9723167419999998
New Zealand,Australia and New Zealand,9,7.2860000000000005,0.033710000000000004,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,Australia and New Zealand,8,7.334,7.263999999999999,7.404,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,8,7.31400012969971,7.3795104418695,7.24848981752992,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.500005125999451,0.38281670212745705,2.0464563369751,8,7.31400012969971,7.3795104418695,7.24848981752992,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.500005125999451,0.38281670212745705,2.0464563369751,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,North America and ANZ,7.2996001239999995,0.039465468,7.376952648,7.222247601,10.50094318,0.9491189720000001,73.20262909,0.9362174870000001,0.191598073,0.22113885,1.9723167419999998
Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,Australia and New Zealand,9,7.313,7.2410000000000005,7.385,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,10,7.28399991989136,7.35665122494102,7.211348614841699,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.47769924998283403,0.301183730363846,2.06521081924438,10,7.28399991989136,7.35665122494102,7.211348614841699,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.47769924998283403,0.301183730363846,2.06521081924438,11,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,North America and ANZ,7.222799778,0.041841116,7.30480814,7.140791416,10.72059631,0.9448546170000001,73.60453796,0.915431738,0.19046016,0.41516912,1.9723167419999998
