Country name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,,6.31,6.07,5.96,6.42,6.44,6.78,6.47,6.58,6.67,6.70,6.43,6.04,5.79,6.09
Australia,7.34,,7.29,7.25,,7.45,7.41,7.20,7.36,7.29,7.31,7.25,7.26,7.18,7.23
Bangladesh,,4.32,4.61,5.05,5.08,4.86,4.99,4.72,4.66,4.64,4.63,4.56,4.31,4.50,5.11
Brazil,6.64,,6.32,6.69,7.00,6.84,7.04,6.66,7.14,6.98,6.55,6.37,6.33,6.19,6.45
Canada,7.42,,7.48,7.49,7.49,7.65,7.43,7.42,7.59,7.30,7.41,7.24,7.41,7.18,7.11
China,,4.56,4.86,4.85,4.45,4.65,5.04,5.09,5.24,5.20,5.30,5.32,5.10,5.13,5.14
Denmark,8.02,,7.83,7.97,7.68,7.77,7.79,7.52,7.59,7.51,7.51,7.56,7.59,7.65,7.69
Finland,,7.67,,7.67,,7.39,7.35,7.42,7.44,7.38,7.45,7.66,7.79,7.86,7.78
France,7.09,6.58,,7.01,6.28,6.80,6.96,6.65,6.67,6.47,6.36,6.48,6.64,6.67,6.69
Germany,6.62,,6.42,6.52,6.64,6.72,6.62,6.70,6.97,6.98,7.04,6.87,7.07,7.12,7.04
India,,5.35,5.03,5.15,4.52,4.99,4.63,4.72,4.43,4.42,4.34,4.18,4.05,3.82,3.25
Indonesia,,4.95,5.10,4.82,5.47,5.46,5.17,5.37,5.29,5.60,5.04,5.14,5.10,5.34,5.35
Iran,5.31,,5.34,5.13,,,4.77,4.61,5.14,4.68,4.75,4.65,4.72,4.28,5.01
Italy,6.85,,6.57,6.78,6.33,6.35,6.06,5.84,6.01,6.03,5.85,5.95,6.20,6.52,6.45
Japan,6.52,,6.24,5.91,5.84,6.06,6.26,5.97,5.96,5.92,5.88,5.95,5.91,5.79,5.91
Malaysia,,6.01,6.24,5.81,5.38,5.58,5.79,5.91,5.77,5.96,6.32,,,5.34,5.43
Mexico,6.58,,6.53,6.83,6.96,6.80,6.91,7.32,7.44,6.68,6.24,6.82,6.41,6.55,6.43
Oman,,,,,,,6.85,,,,,,,,
Philippines,,4.67,5.07,4.59,4.88,4.94,4.99,5.00,4.98,5.31,5.55,5.43,5.59,5.87,6.27
Russia,,4.96,5.22,5.62,5.16,5.38,5.39,5.62,5.54,6.04,6.00,5.85,5.58,5.51,
Saudi Arabia,7.08,,7.27,6.81,6.15,6.31,6.70,6.40,6.50,6.28,6.35,6.47,6.29,6.36,6.56
Singapore,,6.46,6.83,6.64,6.14,6.53,6.56,,6.53,7.06,6.62,6.03,6.38,6.37,6.38
South Africa,,5.08,5.20,5.35,5.22,4.65,4.93,5.13,3.66,4.83,4.89,4.77,4.51,4.88,5.03
South Korea,,5.33,5.77,5.39,5.65,6.12,6.95,6.00,5.96,5.80,5.78,5.97,5.87,5.84,5.90
Turkey,4.72,,5.62,5.12,5.21,5.49,5.27,5.31,4.89,5.58,5.51,5.33,5.61,5.19,4.87
United Kingdom,6.98,,6.80,6.99,6.91,7.03,6.87,6.88,6.92,6.76,6.52,6.82,7.10,7.23,7.16
United States,,7.18,7.51,7.28,7.16,7.16,7.12,7.03,7.25,7.15,6.86,6.80,6.99,6.88,6.94
