Country,Code,Year,Happiness Index,Log GDP per capita,Social Support,Life expectancy,Freedom,Generosity,Perceptions of corruption,GINI of household,Poverty percent of population,Public spending on education,Literacy rate,Tourist arrivals,Int tourism revenue,Fragile state index,Security threats index,Brain drain index,Unemployment rate
Afghanistan,AFG,2017,2.66171813,7.472197056,0.490880072,52.79999924,0.427010864,-0.110381551,0.954392552,0.286598861,,15.66,,,16,17.3,1,8.2,11.18
Albania,ALB,2017,4.639548302,9.376132965,0.637698293,68.40000153,0.74961102,-0.029357223,0.876134634,0.41048798,,12.39,,4643,2050,6.5,4.7,7.6,13.75
Algeria,DZA,2017,5.248912334,9.537937164,0.806753874,65.69999695,0.436670482,-0.187749773,0.699774206,0.527555764,,,,2451,172,76.8,7.2,5.8,12
Argentina,ARG,2017,6.039330006,9.849303246,0.906699121,68.59999847,0.831966162,-0.178521723,0.841052473,0.394175798,25.7,13.26,,6711,5835,48.2,4.3,3,8.35
Armenia,ARM,2017,4.287736416,9.076206207,0.697924912,66.59999847,0.613697052,-0.130840242,0.86468333,0.478876591,25.7,10.4,99.74,1495,1140,71,5.5,6.2,17.7
Australia,AUS,2017,7.25703764,10.71192646,0.949957848,73.30000305,0.910550177,0.314024687,0.411346525,0.428340912,,,,8815,43975,22.3,2.1,1.3,5.59
Austria,AUT,2017,7.293727875,10.72531509,0.906217813,72.69999695,0.890030563,0.136695594,0.518303812,0.322941631,,,,29460,22424,27.7,1,1.5,5.5
Azerbaijan,AZE,2017,5.152279377,9.67592144,0.787039399,65.19999695,0.731030464,-0.241784602,0.652539015,0.313743263,,6.95,99.79,2454,3214,76.3,6.2,4.3,5
Bahrain,BHR,2017,6.227320671,10.67638016,0.875747144,68.5,0.905858517,0.13372919,0,0.446609318,,7.18,97.4,11374,4380,64.9,6.9,3.5,0.7
Bangladesh,BGD,2017,4.309771061,8.198176384,0.712552786,63.79999924,0.896217167,0.015172433,0.635014474,0.53275013,,18.39,72.89,1026,348,89.1,7.6,7.8,4.37
Belarus,BLR,2017,5.552915096,9.752282143,0.900255799,65.80000305,0.620979249,-0.125332251,0.654113412,0.283250213,5.9,12.28,,11060,1124,72.4,6.1,3.4,5.65
Belgium,BEL,2017,6.928347588,10.66385078,0.921639085,71.80000305,0.856801987,0.057111334,0.543046057,0.354373842,,,,8385,9636,3.8,2.4,1.6,7.09
Benin,BEN,2017,4.853180885,7.634958744,0.435878992,53.90000153,0.72680825,-0.042791203,0.767234623,0.5770697,,19.88,,281,160,77.6,6.2,7.4,2.46
Bolivia,BOL,2017,5.65055275,8.824520111,0.778661788,63.29999924,0.883904934,-0.112021171,0.819261968,0.40588659,36.4,,,1109,912,76.8,6.5,7,3.67
Bosnia and Herzegovina,BIH,2017,5.089902401,9.415287971,0.775295258,67.5,0.563798666,0.092370979,0.923343062,0.486203879,,,,923,985,73,5.7,5.5,20.53
Botswana,BWA,2017,3.504881144,9.690624237,0.768258631,58.20000076,0.817308009,-0.25131917,0.731441498,0.637864351,,,,1623,542,63.8,4.1,5.5,17.5
Brazil,BRA,2017,6.332929134,9.563530922,0.904694259,66.19999695,0.764792562,-0.181627795,0.794457376,0.39262256,,,93.08,6589,6175,68.2,6.7,4.6,12.82
Bulgaria,BGR,2017,5.096901894,9.831251144,0.94175458,66.59999847,0.689047039,-0.152540609,0.910799742,0.343219519,22,,,8883,4678,53.7,4.3,4.2,6.16
Burkina Faso,BFA,2017,4.646891117,7.43616581,0.784761369,53.40000153,0.613774717,-0.05469273,0.727451324,0.553144336,,21.44,,143,172,88,8.4,7.5,6.22
Myanmar,MMR,2017,4.154341698,8.632364273,0.795183837,58.70000076,0.886011839,0.631295502,0.618821502,0.424162179,24.8,10.1,,3443,1988,95.7,8.9,6.4,1.55
Cambodia,KHM,2017,4.585842133,8.203479767,0.765094936,61.20000076,0.963774681,0.087028831,0.821022928,0.545690596,,,,5602,4024,85.7,6.7,7.6,0.68
Cameroon,CMR,2017,5.07405138,8.105579376,0.69459641,51.90000153,0.766945004,-0.029375596,0.84358561,0.565237224,,15.91,,1081,543,95.6,7.9,7.6,3.41
Canada,CAN,2017,7.414868355,10.68901825,0.93374896,73.40000153,0.945145011,0.160873085,0.362034321,0.601348937,,,,20883,20400,22.6,2.2,1.7,6.34
Central African Republic,CAF,2017,3.475862026,6.625160217,0.319589138,45.20000076,0.645252347,0.082410358,0.889566004,0.715371251,,,,107,,112.6,9,7.5,3.74
Chad,TCD,2017,4.558937073,7.469523907,0.660615563,47.70000076,0.614849687,-0.00440244,0.792389929,0.561519265,,16.36,,87,,19.4,9.4,8.8,1.85
Chile,CHL,2017,6.320119381,10.01220036,0.879840791,69.80000305,0.790116489,-0.024296479,0.835987508,0.574647009,8.6,21.3,96.4,6450,4372,41.1,3.2,3.8,6.96
China,CHN,2017,5.099061489,9.63259697,0.772033215,69,0.877617598,-0.187219471,0,0.633354962,3.1,,,60740,38559,74.7,5.9,4.9,4.44
Colombia,COL,2017,6.157341957,9.486927032,0.909249961,67.40000153,0.837554634,-0.159074977,0.87501812,0.542027473,26.9,16.14,,3631,5882,78.9,6.9,6.2,8.87
Costa Rica,CRC,2017,7.22518158,9.644088745,0.92169714,71.09999847,0.93561846,-0.068964519,0.742350757,0.469308227,20,30.15,,2960,3826,44.1,3.6,4.1,8.14
Croatia,HRV,2017,5.343165874,10.03604698,0.770309687,69.59999847,0.715822279,-0.101993807,0.89155972,0.338284969,19.4,,,15593,11128,5.6,3.5,4.7,11.21
Cyprus,CYP,2017,6.062051296,10.40570259,0.818671048,73.5,0.811670661,0.043731496,0.851206422,0.410138428,,,,3652,3274,62.6,4.4,4,11.05
Czech Republic,CZE,2017,6.789567947,10.3911705,0.900968969,69.80000305,0.8317855,-0.173603013,0.866524994,0.282945663,,,,10160,7695,4.1,2.6,2.8,2.89
Congo (Kinshasa),COD,2017,4.311033249,6.694256306,0.669688404,52.90000153,0.704239547,0.083637655,0.809181869,0.63245213,,14.01,,,6,11,9,6.6,4.27
Denmark,DNK,2017,7.593702316,10.76362419,0.952100098,72.09999847,0.955416322,0.156839058,0.18114756,0.630812943,,,,12426,8508,21.5,1.7,1.9,5.74
Dominican Republic,DMA,2017,5.605202675,9.612696648,0.894368112,65.5,0.855359018,-0.121397868,0.760489643,0.480913222,,,,72,161,,,,0
Dominican Republic,DOM,2017,5.605202675,9.612696648,0.894368112,65.5,0.855359018,-0.121397868,0.760489643,0.480913222,25.6,,,6188,7184,69,5.8,7.1,5.83
