Country name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.72,0.72,0.68,0.6,0.5,0.53,0.58,0.51,0.39,0.52,0.43
Albania,0.53,0.53,0.53,0.57,0.49,0.6,0.63,0.73,0.7,0.73,0.75
Argentina,0.65,0.68,0.64,0.73,0.82,0.75,0.74,0.75,0.88,0.85,0.83
Armenia,0.61,0.46,0.44,0.46,0.46,0.5,0.5,0.51,0.55,0.61,0.61
Australia,0.89,0.92,0.93,0.93,0.94,0.94,0.93,0.92,0.92,0.92,0.91
Austria,0.88,0.88,0.9,0.9,0.94,0.92,0.92,0.89,0.9,0.89,0.89
Azerbaijan,0.52,0.6,0.5,0.5,0.54,0.6,0.67,0.73,0.76,0.71,0.73
Bahrain,0.9,0.9,0.9,0.86,0.87,0.68,0.81,0.0,0.85,0.89,0.91
Bangladesh,0.6,0.61,0.63,0.66,0.84,0.67,0.74,0.74,0.81,0.87,0.9
Belarus,0.67,0.64,0.68,0.7,0.66,0.65,0.72,0.65,0.62,0.66,0.62
Belgium,0.9,0.89,0.81,0.81,0.88,0.86,0.89,0.86,0.87,0.87,0.86
Benin,0.71,0.71,0.77,0.77,0.77,0.77,0.78,0.78,0.73,0.78,0.73
Bolivia,0.78,0.73,0.78,0.7,0.78,0.86,0.85,0.88,0.88,0.88,0.88
Bosnia and Herzegovina,0.34,0.26,0.26,0.36,0.33,0.42,0.39,0.41,0.63,0.63,0.56
Botswana,0.86,0.86,0.83,0.83,0.81,0.8,0.77,0.79,0.86,0.85,0.82
Brazil,0.78,0.78,0.77,0.81,0.83,0.85,0.78,0.71,0.8,0.81,0.76
Bulgaria,0.57,0.54,0.54,0.54,0.66,0.64,0.6,0.58,0.64,0.7,0.69
Burkina Faso,0.58,0.61,0.59,0.59,0.72,0.62,0.74,0.71,0.66,0.64,0.61
Cambodia,0.82,0.91,0.94,0.94,0.93,0.96,0.94,0.94,0.96,0.96,0.96
Cameroon,0.64,0.58,0.7,0.79,0.82,0.77,0.79,0.79,0.79,0.71,0.77
Canada,0.93,0.93,0.92,0.93,0.95,0.92,0.92,0.94,0.93,0.91,0.95
Chad,0.29,0.53,0.4,0.5,0.54,0.56,0.49,0.57,0.47,0.53,0.61
Chile,0.66,0.64,0.75,0.79,0.7,0.73,0.74,0.73,0.77,0.65,0.79
China,0.0,0.85,0.77,0.8,0.82,0.81,0.8,0.0,0.0,0.0,0.88
Colombia,0.79,0.8,0.76,0.82,0.81,0.83,0.84,0.8,0.79,0.83,0.84
Congo (Brazzaville),0.53,0.53,0.74,0.74,0.74,0.77,0.73,0.66,0.85,0.79,0.78
Costa Rica,0.92,0.91,0.89,0.88,0.93,0.93,0.9,0.93,0.91,0.87,0.94
Croatia,0.66,0.55,0.55,0.56,0.52,0.54,0.63,0.52,0.69,0.67,0.72
Cyprus,0.77,0.77,0.77,0.76,0.75,0.72,0.66,0.72,0.63,0.76,0.81
Czech Republic,0.8,0.78,0.78,0.78,0.79,0.74,0.73,0.8,0.81,0.85,0.83
Denmark,0.93,0.97,0.95,0.94,0.93,0.93,0.92,0.94,0.94,0.95,0.96
Dominican Republic,0.89,0.85,0.86,0.82,0.85,0.84,0.89,0.9,0.86,0.87,0.86
Ecuador,0.67,0.64,0.74,0.72,0.79,0.83,0.79,0.72,0.8,0.85,0.88
Egypt,0.61,0.0,0.61,0.49,0.59,0.45,0.47,0.58,0.66,0.66,0.59
El Salvador,0.64,0.64,0.67,0.67,0.75,0.68,0.72,0.78,0.73,0.8,0.76
Estonia,0.71,0.64,0.61,0.74,0.74,0.7,0.75,0.77,0.81,0.84,0.86
Finland,0.93,0.93,0.92,0.92,0.94,0.92,0.92,0.93,0.93,0.95,0.96
France,0.83,0.83,0.8,0.85,0.9,0.84,0.88,0.8,0.82,0.79,0.83
Gabon,0.77,0.77,0.77,0.77,0.77,0.57,0.68,0.61,0.67,0.7,0.65
Georgia,0.46,0.61,0.5,0.56,0.63,0.66,0.72,0.72,0.64,0.61,0.82
Germany,0.8,0.77,0.84,0.84,0.91,0.9,0.89,0.9,0.89,0.87,0.84
Ghana,0.89,0.84,0.76,0.89,0.85,0.68,0.79,0.68,0.85,0.75,0.78
Greece,0.58,0.44,0.44,0.48,0.53,0.37,0.43,0.37,0.53,0.48,0.44
Guatemala,0.63,0.63,0.64,0.7,0.76,0.87,0.88,0.84,0.87,0.86,0.91
Guinea,0.8,0.8,0.8,0.8,0.8,0.65,0.69,0.68,0.67,0.73,0.74
Haiti,0.46,0.46,0.37,0.37,0.41,0.48,0.61,0.51,0.4,0.3,0.48
Honduras,0.68,0.69,0.66,0.65,0.78,0.7,0.7,0.7,0.53,0.85,0.9
Hong Kong S.A.R. of China,0.92,0.92,0.92,0.89,0.89,0.88,0.84,0.84,0.8,0.8,0.83
Hungary,0.54,0.46,0.46,0.51,0.63,0.57,0.67,0.49,0.56,0.55,0.66
India,0.73,0.76,0.68,0.78,0.84,0.61,0.74,0.81,0.78,0.82,0.89
Indonesia,0.6,0.6,0.78,0.7,0.88,0.77,0.78,0.72,0.78,0.83,0.87
Iran,0.53,0.6,0.8,0.8,0.8,0.76,0.73,0.77,0.78,0.77,0.73
Iraq,0.39,0.39,0.43,0.42,0.35,0.31,0.0,0.65,0.6,0.67,0.63
Ireland,0.89,0.89,0.83,0.86,0.95,0.9,0.88,0.92,0.89,0.87,0.91
Israel,0.68,0.66,0.59,0.56,0.72,0.68,0.74,0.71,0.75,0.77,0.77
Italy,0.68,0.54,0.7,0.74,0.57,0.57,0.5,0.62,0.57,0.62,0.63
Japan,0.8,0.77,0.73,0.77,0.81,0.75,0.82,0.84,0.83,0.84,0.85
Jordan,0.65,0.0,0.77,0.79,0.76,0.69,0.69,0.73,0.77,0.77,0.77
Kazakhstan,0.81,0.73,0.86,0.78,0.88,0.84,0.78,0.8,0.74,0.78,0.75
Kenya,0.75,0.62,0.58,0.64,0.71,0.63,0.71,0.82,0.79,0.75,0.85
Kosovo,0.38,0.0,0.51,0.45,0.59,0.64,0.57,0.44,0.56,0.83,0.86
Kuwait,0.82,0.82,0.82,0.7,0.77,0.93,0.75,0.0,0.82,0.84,0.88
Kyrgyzstan,0.68,0.72,0.7,0.72,0.75,0.7,0.76,0.74,0.81,0.81,0.86
Latvia,0.7,0.63,0.44,0.56,0.56,0.56,0.63,0.67,0.66,0.69,0.7
Lebanon,0.52,0.52,0.66,0.68,0.66,0.62,0.65,0.66,0.6,0.66,0.6
Liberia,0.79,0.72,0.82,0.82,0.59,0.59,0.59,0.59,0.67,0.76,0.73
Lithuania,0.59,0.62,0.5,0.52,0.57,0.5,0.56,0.51,0.64,0.61,0.75
Luxembourg,0.94,0.94,0.94,0.91,0.96,0.92,0.79,0.94,0.93,0.88,0.9
Macedonia,0.44,0.55,0.55,0.51,0.61,0.61,0.64,0.64,0.66,0.71,0.75
Madagascar,0.33,0.33,0.55,0.55,0.55,0.49,0.48,0.53,0.54,0.57,0.57
Malawi,0.91,0.88,0.88,0.73,0.73,0.64,0.75,0.79,0.8,0.81,0.85
Malaysia,0.84,0.78,0.87,0.77,0.84,0.85,0.79,0.81,0.67,0.87,0.87
Mali,0.49,0.49,0.63,0.75,0.82,0.7,0.66,0.65,0.63,0.7,0.75
Malta,0.8,0.8,0.8,0.8,0.88,0.86,0.91,0.9,0.91,0.92,0.92
Mauritania,0.57,0.59,0.74,0.67,0.57,0.49,0.6,0.47,0.45,0.47,0.53
Mexico,0.67,0.68,0.68,0.78,0.83,0.79,0.74,0.78,0.72,0.75,0.86
Moldova,0.7,0.64,0.55,0.6,0.63,0.6,0.66,0.62,0.6,0.56,0.55
Mongolia,0.78,0.48,0.63,0.63,0.7,0.69,0.75,0.75,0.69,0.76,0.67
Montenegro,0.51,0.56,0.56,0.55,0.55,0.46,0.5,0.5,0.58,0.57,0.63
Morocco,0.66,0.66,0.66,0.66,0.58,0.76,0.57,0.71,0.71,0.82,0.81
Nepal,0.41,0.62,0.62,0.52,0.52,0.64,0.72,0.71,0.76,0.84,0.85
Netherlands,0.9,0.88,0.92,0.92,0.93,0.88,0.92,0.91,0.9,0.91,0.92
New Zealand,0.88,0.89,0.92,0.92,0.93,0.9,0.94,0.93,0.94,0.93,0.94
Nicaragua,0.84,0.79,0.75,0.79,0.78,0.85,0.86,0.82,0.81,0.72,0.92
Niger,0.58,0.65,0.88,0.82,0.78,0.73,0.83,0.69,0.73,0.7,0.68
Nigeria,0.64,0.58,0.54,0.57,0.65,0.65,0.62,0.68,0.68,0.8,0.83
Pakistan,0.4,0.34,0.39,0.36,0.38,0.37,0.45,0.54,0.59,0.63,0.71
Palestinian Territories,0.37,0.36,0.47,0.5,0.52,0.54,0.45,0.66,0.56,0.61,0.63
Panama,0.64,0.71,0.72,0.75,0.83,0.78,0.81,0.89,0.85,0.88,0.9
Paraguay,0.7,0.65,0.72,0.73,0.67,0.75,0.91,0.76,0.81,0.85,0.89
Peru,0.64,0.64,0.64,0.76,0.77,0.7,0.7,0.72,0.8,0.83,0.83
Philippines,0.85,0.86,0.87,0.89,0.88,0.91,0.91,0.9,0.91,0.91,0.93
Poland,0.77,0.82,0.82,0.79,0.87,0.81,0.78,0.88,0.79,0.87,0.83
Portugal,0.65,0.65,0.72,0.72,0.88,0.77,0.79,0.85,0.8,0.84,0.91
Romania,0.69,0.61,0.61,0.57,0.65,0.64,0.65,0.75,0.8,0.82,0.84
Russia,0.59,0.64,0.62,0.61,0.63,0.61,0.66,0.74,0.69,0.71,0.73
Rwanda,0.75,0.75,0.77,0.83,0.83,0.84,0.9,0.89,0.91,0.91,0.91
Saudi Arabia,0.62,0.53,0.64,0.68,0.6,0.56,0.66,0.76,0.82,0.77,0.81
Senegal,0.7,0.61,0.56,0.78,0.64,0.67,0.64,0.69,0.72,0.74,0.69
Serbia,0.45,0.37,0.37,0.46,0.44,0.46,0.53,0.53,0.55,0.61,0.68
Sierra Leone,0.72,0.72,0.73,0.73,0.77,0.72,0.72,0.68,0.62,0.68,0.71
Singapore,0.87,0.66,0.78,0.85,0.82,0.83,0.83,0.83,0.89,0.9,0.93
Slovakia,0.64,0.64,0.64,0.64,0.73,0.62,0.6,0.63,0.59,0.7,0.71
Slovenia,0.9,0.9,0.9,0.9,0.91,0.9,0.89,0.89,0.9,0.9,0.92
South Africa,0.69,0.75,0.74,0.74,0.84,0.59,0.71,0.79,0.86,0.77,0.79
South Korea,0.66,0.52,0.6,0.68,0.68,0.62,0.64,0.62,0.62,0.59,0.54
Spain,0.78,0.83,0.75,0.8,0.82,0.75,0.76,0.74,0.73,0.77,0.76
Sri Lanka,0.74,0.83,0.8,0.74,0.82,0.8,0.83,0.87,0.9,0.83,0.83
Sweden,0.91,0.91,0.86,0.9,0.94,0.94,0.94,0.95,0.94,0.92,0.93
Taiwan,0.64,0.64,0.68,0.68,0.76,0.7,0.69,0.69,0.7,0.72,0.76
Tajikistan,0.82,0.82,0.74,0.78,0.78,0.75,0.69,0.85,0.85,0.7,0.83
Tanzania,0.72,0.56,0.61,0.6,0.74,0.58,0.65,0.65,0.76,0.78,0.8
Thailand,0.87,0.87,0.87,0.86,0.93,0.85,0.78,0.9,0.88,0.92,0.92
Tunisia,0.78,0.78,0.78,0.62,0.6,0.57,0.54,0.59,0.71,0.61,0.48
