Country,Code,Year,Happiness Index,Log GDP per capita,Social Support,Life expectancy,Freedom,Generosity,Perceptions of corruption,GINI of household,Poverty percent of population,Public spending on education,Literacy rate,Tourist arrivals,Int tourism revenue,Fragile state index,Security threats index,Brain drain index,Unemployment rate,Blue Index,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min)
Afghanistan,AFG,2017,2.66171813,7.472197056,0.490880072,52.79999924,0.427010864,-0.110381551,0.954392552,,,15.66,,,16,17.3,1,8.2,11.18,12.47302729,5.84,4077,5.84,0.1743,18.8,
Albania,ALB,2017,4.639548302,9.376132965,0.637698293,68.40000153,0.74961102,-0.029357223,0.876134634,0.30325,,12.39,,4643,2050,6.5,4.7,7.6,13.75,11.82940702,5.59,2733,5.59,1.1951,32.9,
Algeria,DZA,2017,5.248912334,9.537937164,0.806753874,65.69999695,0.436670482,-0.187749773,0.699774206,0.276,,,,2451,172,76.8,7.2,5.8,12,,,,,,,
Argentina,ARG,2017,6.039330006,9.849303246,0.906699121,68.59999847,0.831966162,-0.178521723,0.841052473,0.460705882,25.7,13.26,,6711,5835,48.2,4.3,3,8.35,10.5225503,11.64,4074,11.64,1.4053,31.7,418
Armenia,ARM,2017,4.287736416,9.076206207,0.697924912,66.59999847,0.613697052,-0.130840242,0.86468333,0.320235294,25.7,10.4,99.74,1495,1140,71,5.5,6.2,17.7,11.37777161,7.9,3181,7.9,2.6724,35.1,
Australia,AUS,2017,7.25703764,10.71192646,0.949957848,73.30000305,0.910550177,0.314024687,0.411346525,0.343333333,,,,8815,43975,22.3,2.1,1.3,5.59,23.47288949,11.95,5801,11.95,2.6724,38.7,453
Austria,AUT,2017,7.293727875,10.72531509,0.906217813,72.69999695,0.890030563,0.136695594,0.518303812,0.302692308,,,,29460,22424,27.7,1,1.5,5.5,15.18674333,17.48,3799,17.48,2.9954,44,441
Azerbaijan,AZE,2017,5.152279377,9.67592144,0.787039399,65.19999695,0.731030464,-0.241784602,0.652539015,0.2836,,6.95,99.79,2454,3214,76.3,6.2,4.3,5,6.185525932,5.11,2660,5.11,4.5528,31.3,
Bahrain,BHR,2017,6.227320671,10.67638016,0.875747144,68.5,0.905858517,0.13372919,0,,,7.18,97.4,11374,4380,64.9,6.9,3.5,0.7,24.23000025,7.73,5736,7.73,3.7124,32.3,
Bangladesh,BGD,2017,4.309771061,8.198176384,0.712552786,63.79999924,0.896217167,0.015172433,0.635014474,0.32775,,18.39,72.89,1026,348,89.1,7.6,7.8,4.37,16.6101448,7.19,4558,7.19,2.8855,26.7,
Belarus,BLR,2017,5.552915096,9.752282143,0.900255799,65.80000305,0.620979249,-0.125332251,0.654113412,0.278222222,5.9,12.28,,11060,1124,72.4,6.1,3.4,5.65,25.2439801,37.48,5346,37.48,0.3293,40,
Belgium,BEL,2017,6.928347588,10.66385078,0.921639085,71.80000305,0.856801987,0.057111334,0.543046057,0.284307692,,,,8385,9636,3.8,2.4,1.6,7.09,35.76522958,20.69,4858,20.69,0.3293,41.4,450
Benin,BEN,2017,4.853180885,7.634958744,0.435878992,53.90000153,0.72680825,-0.042791203,0.767234623,0.432666667,,19.88,,281,160,77.6,6.2,7.4,2.46,10.94147495,6.08,3152,6.08,0.3293,18.2,
Bolivia,BOL,2017,5.65055275,8.824520111,0.778661788,63.29999924,0.883904934,-0.112021171,0.819261968,0.5165,36.4,,,1109,912,76.8,6.5,7,3.67,16.73127499,6.28,3530,6.28,3.68,24.3,
Bosnia and Herzegovina,BIH,2017,5.089902401,9.415287971,0.775295258,67.5,0.563798666,0.092370979,0.923343062,0.32525,,,,923,985,73,5.7,5.5,20.53,15.39698115,8.48,3249,8.48,1.0155,42.1,
Botswana,BWA,2017,3.504881144,9.690624237,0.768258631,58.20000076,0.817308009,-0.25131917,0.731441498,0.595,,,,1623,542,63.8,4.1,5.5,17.5,10.70122697,8.65,4368,8.65,1.6429,24.5,
Brazil,BRA,2017,6.332929134,9.563530922,0.904694259,66.19999695,0.764792562,-0.181627795,0.794457376,0.5458125,,,93.08,6589,6175,68.2,6.7,4.6,12.82,76.84373323,6.16,5251,6.16,3.5306,32,416
Bulgaria,BGR,2017,5.096901894,9.831251144,0.94175458,66.59999847,0.689047039,-0.152540609,0.910799742,0.354666667,22,,,8883,4678,53.7,4.3,4.2,6.16,42.41358515,15.33,3745,15.33,0.3316,42.7,434
Burkina Faso,BFA,2017,4.646891117,7.43616581,0.784761369,53.40000153,0.613774717,-0.05469273,0.727451324,0.394666667,,21.44,,143,172,88,8.4,7.5,6.22,13.11261169,6.65,3180,6.65,1.7306,17.3,
Myanmar,MMR,2017,4.154341698,8.632364273,0.795183837,58.70000076,0.886011839,0.631295502,0.618821502,0.381,24.8,10.1,,3443,1988,95.7,8.9,6.4,1.55,,,,,,,
Cambodia,KHM,2017,4.585842133,8.203479767,0.765094936,61.20000076,0.963774681,0.087028831,0.821022928,,,,,5602,4024,85.7,6.7,7.6,0.68,12.73057628,4.07,2779,4.07,0.378,25.3,
Cameroon,CMR,2017,5.07405138,8.105579376,0.69459641,51.90000153,0.766945004,-0.029375596,0.84358561,0.438333333,,15.91,,1081,543,95.6,7.9,7.6,3.41,10.02622685,8.44,3358,8.44,1.0365,18.5,
Canada,CAN,2017,7.414868355,10.68901825,0.93374896,73.40000153,0.945145011,0.160873085,0.362034321,0.3368,,,,20883,20400,22.6,2.2,1.7,6.34,11.5807198,13.25,4077,13.25,1.0365,42.2,443
Central African Republic,CAF,2017,3.475862026,6.625160217,0.319589138,45.20000076,0.645252347,0.082410358,0.889566004,0.499,,,,107,,112.6,9,7.5,3.74,,,,,,,
Chad,TCD,2017,4.558937073,7.469523907,0.660615563,47.70000076,0.614849687,-0.00440244,0.792389929,0.4155,,16.36,,87,,19.4,9.4,8.8,1.85,13.35088731,5.62,3350,5.62,1.2676,17.8,
Chile,CHL,2017,6.320119381,10.01220036,0.879840791,69.80000305,0.790116489,-0.024296479,0.835987508,0.488375,8.6,21.3,96.4,6450,4372,41.1,3.2,3.8,6.96,17.91357565,12.29,4900,12.29,0.0704,34.4,417
China,CHN,2017,5.099061489,9.63259697,0.772033215,69,0.877617598,-0.187219471,0,0.413,3.1,,,60740,38559,74.7,5.9,4.9,4.44,18.30228705,10.43,3589,10.43,0.1035,37.4,424
Colombia,COL,2017,6.157341957,9.486927032,0.909249961,67.40000153,0.837554634,-0.159074977,0.87501812,0.5384375,26.9,16.14,,3631,5882,78.9,6.9,6.2,8.87,13.74353044,5.92,2888,5.92,1.5192,30,408
Costa Rica,CRC,2017,7.22518158,9.644088745,0.92169714,71.09999847,0.93561846,-0.068964519,0.742350757,0.490444444,20,30.15,,2960,3826,44.1,3.6,4.1,8.14,31.59281373,7.17,3502,7.17,2.0147,43,423
Croatia,HRV,2017,5.343165874,10.03604698,0.770309687,69.59999847,0.715822279,-0.101993807,0.89155972,0.321428571,19.4,,,15593,11128,5.6,3.5,4.7,11.21,13.8724048,19.77,4114,19.77,3.5544,36.8,437
Cyprus,CYP,2017,6.062051296,10.40570259,0.818671048,73.5,0.811670661,0.043731496,0.851206422,0.326166667,,,,3652,3274,62.6,4.4,4,11.05,15.21049159,5.6,3670,5.6,3.5287,42.1,
Czech Republic,CZE,2017,6.789567947,10.3911705,0.900968969,69.80000305,0.8317855,-0.173603013,0.866524994,0.264166667,,,,10160,7695,4.1,2.6,2.8,2.89,8.623381802,16.17,3868,16.17,3.4527,42.2,
Congo (Kinshasa),COD,2017,4.311033249,6.694256306,0.669688404,52.90000153,0.704239547,0.083637655,0.809181869,0.4215,,14.01,,,6,11,9,6.6,4.27,,,,,,,
Denmark,DNK,2017,7.593702316,10.76362419,0.952100098,72.09999847,0.955416322,0.156839058,0.18114756,0.267,,,,12426,8508,21.5,1.7,1.9,5.74,17.5145854,14.08,3731,14.08,2.604,28.1,
Dominican Republic,DMA,2017,5.605202675,9.612696648,0.894368112,65.5,0.855359018,-0.121397868,0.760489643,0.486647059,,,,72,161,,,,0,,,,,,,
Dominican Republic,DOM,2017,5.605202675,9.612696648,0.894368112,65.5,0.855359018,-0.121397868,0.760489643,0.486647059,25.6,,,6188,7184,69,5.8,7.1,5.83,27.4507786,4.3,3298,4.3,2.604,27.7,
Ecuador,ECU,2017,5.839518547,9.254712105,0.848941743,68.19999695,0.879128158,-0.167000413,0.733588755,0.4929375,21.5,,92.83,1806,1554,77.3,6.8,5.8,3.84,28.27697092,7,3663,7,2.604,23.9,
Egypt,EGY,2017,3.929344177,9.275453568,0.63822639,61.40000153,0.592504799,-0.157634318,0,0.3064,32.5,,71.17,8157,8636,89.8,8.1,4.7,11.74,21.6939843,4.99,3896,4.99,2.8747,27.1,399
El Salvador,SLV,2017,6.339318275,8.888309479,0.82895261,65.80000305,0.757827342,-0.1679039,0.777748585,0.4535,29.2,15.59,88.48,1556,1227,73.1,7.3,7.9,4.39,11.84158831,9.32,3555,9.32,3.2508,42.7,
Estonia,EST,2017,5.938395977,10.30616093,0.93568635,68.40000153,0.861749232,-0.100757562,0.668402255,0.332461538,,,,3244,2126,44.7,3.3,4,5.76,25.801004,25.94,5531,25.94,3.0351,42.5,446
Ethiopia,ETH,2017,4.180315495,7.452682495,0.73353976,58,0.717101216,0.007632628,0.75689894,0.326666667,,,51.77,933,2505,11.1,8.4,7.6,2.12,,,,,,,
Finland,FIN,2017,7.788251877,10.62556744,0.963826418,71.80000305,0.962198973,-0.001271056,0.192412779,0.275615385,,,,3180,5207,18.7,1.7,2.3,8.64,21.6374187,20.71,5436,20.71,3.4189,41.4,456
