2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.72,0.72,0.68,0.6,0.5,0.53,0.58,0.51,0.39,0.52,0.43
0.53,0.53,0.53,0.57,0.49,0.6,0.63,0.73,0.7,0.73,0.75
0.65,0.68,0.64,0.73,0.82,0.75,0.74,0.75,0.88,0.85,0.83
0.61,0.46,0.44,0.46,0.46,0.5,0.5,0.51,0.55,0.61,0.61
0.89,0.92,0.93,0.93,0.94,0.94,0.93,0.92,0.92,0.92,0.91
0.88,0.88,0.9,0.9,0.94,0.92,0.92,0.89,0.9,0.89,0.89
0.52,0.6,0.5,0.5,0.54,0.6,0.67,0.73,0.76,0.71,0.73
0.9,0.9,0.9,0.86,0.87,0.68,0.81,0.0,0.85,0.89,0.91
0.6,0.61,0.63,0.66,0.84,0.67,0.74,0.74,0.81,0.87,0.9
0.67,0.64,0.68,0.7,0.66,0.65,0.72,0.65,0.62,0.66,0.62
0.9,0.89,0.81,0.81,0.88,0.86,0.89,0.86,0.87,0.87,0.86
0.71,0.71,0.77,0.77,0.77,0.77,0.78,0.78,0.73,0.78,0.73
0.78,0.73,0.78,0.7,0.78,0.86,0.85,0.88,0.88,0.88,0.88
0.34,0.26,0.26,0.36,0.33,0.42,0.39,0.41,0.63,0.63,0.56
0.86,0.86,0.83,0.83,0.81,0.8,0.77,0.79,0.86,0.85,0.82
0.78,0.78,0.77,0.81,0.83,0.85,0.78,0.71,0.8,0.81,0.76
0.57,0.54,0.54,0.54,0.66,0.64,0.6,0.58,0.64,0.7,0.69
0.58,0.61,0.59,0.59,0.72,0.62,0.74,0.71,0.66,0.64,0.61
0.82,0.91,0.94,0.94,0.93,0.96,0.94,0.94,0.96,0.96,0.96
0.64,0.58,0.7,0.79,0.82,0.77,0.79,0.79,0.79,0.71,0.77
0.93,0.93,0.92,0.93,0.95,0.92,0.92,0.94,0.93,0.91,0.95
0.29,0.53,0.4,0.5,0.54,0.56,0.49,0.57,0.47,0.53,0.61
0.66,0.64,0.75,0.79,0.7,0.73,0.74,0.73,0.77,0.65,0.79
0.0,0.85,0.77,0.8,0.82,0.81,0.8,0.0,0.0,0.0,0.88
0.79,0.8,0.76,0.82,0.81,0.83,0.84,0.8,0.79,0.83,0.84
0.53,0.53,0.74,0.74,0.74,0.77,0.73,0.66,0.85,0.79,0.78
0.92,0.91,0.89,0.88,0.93,0.93,0.9,0.93,0.91,0.87,0.94
0.66,0.55,0.55,0.56,0.52,0.54,0.63,0.52,0.69,0.67,0.72
0.77,0.77,0.77,0.76,0.75,0.72,0.66,0.72,0.63,0.76,0.81
0.8,0.78,0.78,0.78,0.79,0.74,0.73,0.8,0.81,0.85,0.83
0.93,0.97,0.95,0.94,0.93,0.93,0.92,0.94,0.94,0.95,0.96
0.89,0.85,0.86,0.82,0.85,0.84,0.89,0.9,0.86,0.87,0.86
0.67,0.64,0.74,0.72,0.79,0.83,0.79,0.72,0.8,0.85,0.88
0.61,0.0,0.61,0.49,0.59,0.45,0.47,0.58,0.66,0.66,0.59
0.64,0.64,0.67,0.67,0.75,0.68,0.72,0.78,0.73,0.8,0.76
0.71,0.64,0.61,0.74,0.74,0.7,0.75,0.77,0.81,0.84,0.86
0.93,0.93,0.92,0.92,0.94,0.92,0.92,0.93,0.93,0.95,0.96
0.83,0.83,0.8,0.85,0.9,0.84,0.88,0.8,0.82,0.79,0.83
0.77,0.77,0.77,0.77,0.77,0.57,0.68,0.61,0.67,0.7,0.65
0.46,0.61,0.5,0.56,0.63,0.66,0.72,0.72,0.64,0.61,0.82
