Country name,Code,GDP,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Blue Index,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Fragile index ,Security index,brain drain,Unemployment rate,Continent,GDP-Happiness diff,Rank,Unemp-Happiness Diff,Rank
Finland,FIN,0.416374937,1,0.824295011,1,0.836805556,0.946428571,0.376623377,0.037974684,0.383154422,0.385214008,0.577846154,0.186403105,0.527923369,0.815047022,0.975308642,,,,,0.036531523,0.068401634,0.156677182,0.08045977,0.133333333,0.30662152,Europe,-0.175704989,101,-0.69337848,111
Denmark,DNK,0.484193041,0.961013645,0.852494577,0.980769231,0.847222222,0.946428571,0.584415584,0.025316456,0.233151986,0.277162526,0.278974359,0.143319074,0.24918259,0.398119122,,,,,,0.143117341,0.111898801,0.186119874,0.08045977,0.08,0.19751693,Europe,-0.108519068,92,-0.763496715,119
Netherlands,NLD,0.486720369,0.935672515,0.861171367,0.961538462,0.850694444,0.875,0.701298701,0.253164557,0.25513319,0.277461838,0.441435897,0.046501834,0.15544748,0.852664577,0.987654321,,,,,0.206497055,0.308314666,0.248159832,0.057471264,0.173333333,0.163656885,Europe,-0.074501148,80,-0.77201563,121
New Zealand,NZL,0.357889191,0.910331384,0.793926247,0.980769231,0.878472222,0.910714286,0.766233766,0.075949367,0.319088823,0.275665968,0.390769231,0.29083127,0.15544748,0.705329154,1,,,,,0.040854439,0.139385953,0.197686646,0.022988506,0.106666667,0.158389767,Oceania,-0.116405137,94,-0.751941617,118
Botswana,BWA,0.146513539,0.16374269,0.620390456,0.634615385,0.364583333,0.696428571,0.051948052,0.721518987,0.294061807,0.176893146,0.441025641,0.264266634,0.34861903,0.285266458,,,,,,0.018582775,0.006931084,0.630914826,0.356321839,0.56,0.639954853,Africa,0.456647766,1,0.476212163,3
Malawi,MWI,0.001705723,0.148148148,0.047722343,0.230769231,0.319444444,0.75,0.38961039,0.721518987,0.164288205,0.121221191,0.181538462,0.190104962,0.112942182,0.034482759,,,,0.318534483,,0.009521943,0.000250362,0.885383807,0.436781609,0.88,0.196388262,Africa,-0.100425805,88,0.048240114,18
Tanzania,TZA,0.017521612,0.134502924,0.240780911,0.519230769,0.322916667,0.660714286,0.506493506,0.620253165,0.158298237,0.06046094,0.237948718,0.176485053,0.206874456,0.507836991,,,,0.752155172,,0.014571109,0.029634998,0.047318612,0.517241379,0.84,0.057938299,Africa,0.106277987,35,-0.076564625,27
Rwanda,RWA,0.009859256,0.087719298,0.156182213,0.153846154,0.444444444,0.857142857,0.441558442,0.063291139,0.224481466,0.099670757,0.295384615,0.278389025,0.015395232,0.379310345,,,,0.178017241,,,0.007010146,0.063091483,0.597701149,0.813333333,0.021444695,Africa,0.068462915,46,-0.066274603,25
Afghanistan,AFG,0.012109738,0,0.138828633,0.096153846,0.177083333,0,0.233766234,1,0.187568577,0.071535468,0.394461538,0.096708725,0.393046679,0.106583072,,,,0.375431034,,,0,0.141955836,0,0.92,0.402182092,Asia,0.138828633,29,0.402182092,4
Brazil,BRA,0.122106523,0.71539961,0.592190889,0.884615385,0.642361111,0.589285714,0.142857143,0.797468354,0.347249159,0.114337025,0.430974359,0.496436094,0.34861903,0.520376176,0.481481481,1,,,0.869683434,0.075829712,0.081156938,0.677181914,0.655172414,0.44,0.463882619,Americas,,,,
Spain,ESP,0.345868758,0.695906433,0.78308026,0.884615385,0.916666667,0.589285714,0.337662338,0.797468354,0.214335787,0.155941335,0.419897436,0.067168592,0,0.808777429,0.691358025,,,,,0.943640702,1,0.358569926,0.206896552,0.08,0.629420617,Europe,,,,
Nicaragua,NIC,0.046054512,0.744639376,0.373101952,0.769230769,0.677083333,0.875,0.38961039,0.64556962,0.199375119,0.088596229,0.193641026,0.315888102,0.15544748,0.322884013,,,,,,0.02047333,0.010870997,0.773922187,0.528735632,0.906666667,0.105718585,Americas,,,,
Costa Rica,CRC,0.162222262,0.890838207,0.609544469,0.923076923,0.8125,0.910714286,0.285714286,0.734177215,0.234402858,0.168811733,0.280615385,0.253781457,0.661189885,0.865203762,0.567901235,0.82078853,0.26035503,1,,0.033995412,0.050204243,0.423764458,0.298850575,0.373333333,0.287810384,Americas,,,,
