Country,Minutes
New Zealand,458
Netherlands,457
Finland,456
Australia,453
Britain,452
Belgium,450
Irland,449
France,448
Sweden,447
Estonia,446
Iceland,444
Canada,443
Norway,441
Luxembourg,441
Austria,441
Lithuania,439
Germany,438
United States,438
Switzerland,438
South Africa,437
Croatia,437
Greece,436
Morocco,435
Bulgaria,434
Spain,433
Ukraine,431
Romania,430
Italy,429
Russia,426
Slovakia,426
China,424
Poland,424
Costa Rica,423
UAE,421
Argentina,418
Thailand,417
Chile,417
Hong Kong,416
Brazil,416
Mexico,413
Israel,413
Indonesia,410
Vietnam,409
Singapore,409
Colombia,408
Turkey,408
Taiwan,407
India,405
Peru,403
Egypt,399
Malaysia,398
Philippines,396
Saudi Arabia,386
South Korea,384
Japan,377
