location_name,Country name,Code,,,
Afghanistan,Afghanistan,AFG,,,
Albania,Albania,ALB,,,
Algeria,Algeria,DZA,,,
American Samoa,American Samoa,,,,
Andorra,Andorra,AND,,,
Angola,Angola,AGO,,,
Antigua and Barbuda,Antigua and Barbuda,ATG,,,
Argentina,Argentina,ARG,,,
Armenia,Armenia,ARM,,,
Australia,Australia,AUS,,,
Austria,Austria,AUT,,,
Azerbaijan,Azerbaijan,AZE,,,
Bahrain,Bahrain,BHR,,,
Bangladesh,Bangladesh,BGD,,,
Barbados,Barbados,BRB,,,
Belarus,Belarus,BLR,,,
Belgium,Belgium,BEL,,,
Belize,Belize,BLZ,,,
Benin,Benin,BEN,,,
Bermuda,Bermuda,BMU,,,
Bhutan,Bhutan,BTN,,,
Bolivia,Bolivia,BOL,,,
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,,,
Botswana,Botswana,BWA,,,
Brazil,Brazil,BRA,,,
Brunei,Brunei,BRN,,,
Bulgaria,Bulgaria,BGR,,,
Burkina Faso,Burkina Faso,BFA,,,
Burundi,Burundi,BDI,,,
Cambodia,Cambodia,KHM,,,
Cameroon,Cameroon,CMR,,,
Canada,Canada,CAN,,,
Cape Verde,Cape Verde,CPV,,,
Central African Republic,Central African Republic,CAF,,,
Chad,Chad,TCD,,,
Chile,Chile,CHL,,,
China,China,CHN,,,
Colombia,Colombia,COL,,,
Comoros,Comoros,COM,,,
Congo,Costa Rica,CRC,,,
Costa Rica,Croatia,HRV,,,
Cote d'Ivoire,Cote d'Ivoire,,,,
Croatia,Cyprus,CYP,,,
Cuba,Cuba,CUB,,,
Cyprus,Cyprus,,,,
Czech Republic,Czech Republic,CZE,,,
Democratic Republic of the Congo,Congo (Kinshasa),COD,,,
Denmark,Denmark,DNK,,,
Djibouti,Djibouti,DJI,,,
Dominica,Dominica,DMA,,,
Dominican Republic,Dominican Republic,DOM,,,
Ecuador,Ecuador,ECU,,,
Egypt,Egypt,EGY,,,
El Salvador,El Salvador,SLV,,,
Equatorial Guinea,Guinea,GNQ,,,
Eritrea,Eritrea,ERI,,,
Estonia,Estonia,EST,,,
Ethiopia,Ethiopia,ETH,,,
Federated States of Micronesia,Federated States of Micronesia,,,,
Fiji,Fiji,FJI,,,
Finland,Finland,FIN,,,
France,France,FRA,,,
Gabon,Gabon,GAB,,,
Georgia,Georgia,GEO,,,
Germany,Germany,DEU,,,
Ghana,Ghana,GHA,,,
Greece,Gibraltar,GIB,,,
Greenland,Greenland,,,,
Grenada,Greece,GRC,,,
Guam,Grenada,GRD,,,
Guatemala,Guatemala,GTM,,,
Guinea,Guinea,GIN,,,
Guinea-Bissau,Guinea-Bissau,GNB,,,
Guyana,Guyana,GUY,,,
Haiti,Haiti,HTI,,,
Honduras,Honduras,HND,,,
Hungary,Hungary,HUN,,,
Iceland,Iceland,ISL,,,
India,India,IND,,,
Indonesia,Indonesia,IDN,,,
Iran,Iran,IRN,,,
Iraq,Iraq,IRQ,,,
Ireland,Ireland,IRL,,,
Israel,Israel,ISR,,,
Italy,Italy,ITA,,,
Jamaica,Jamaica,JAM,,,
Japan,Japan,JPN,,,
Jordan,Jordan,JOR,,,
Kazakhstan,Kazakhstan,KAZ,,,
Kenya,Kenya,KEN,,,
Kiribati,Kiribati,KIR,,,
Kuwait,Kuwait,KWT,,,
Kyrgyzstan,Kyrgyzstan,KGZ,,,
Laos,Laos,LAO,,,
Latvia,Latvia,LVA,,,
Lebanon,Lebanon,LBN,,,
Lesotho,Lesotho,LSO,,,
Liberia,Liberia,LBR,,,
Libya,Libya,LBY,,,
Lithuania,Lithuania,LTU,,,
Luxembourg,Luxembourg,LUX,,,
Macedonia,Macedonia,MKD,,,
Madagascar,Madagascar,MDG,,,
Malawi,Malawi,MWI,,,
Malaysia,Malaysia,MYS,,,
Maldives,Maldives,MDV,,,
Mali,Mali,MLI,,,
Malta,Malta,MLT,,,
Marshall Islands,Marshall Islands,,,,
Mauritania,Mauritania,MRT,,,
Mauritius,Mauritius,MUS,,,
Mexico,Mexico,MEX,,,
Moldova,Moldova,MDA,,,
Mongolia,Mongolia,MNG,,,
Montenegro,Montenegro,MNE,,,
Morocco,Morocco,MAR,,,
Mozambique,Mozambique,MOZ,,,
Myanmar,Myanmar,MMR,,,
Namibia,Namibia,NAM,,,
Nepal,Nepal,NPL,,,
Netherlands,Netherlands,NLD,,,
New Zealand,New Zealand,NZL,,,
Nicaragua,Nicaragua,NIC,,,
Niger,Niger,NER,,,
Nigeria,Nigeria,NGA,,,
North Korea,North Korea,PRK,,,
Northern Mariana Islands,Northern Mariana Islands,,,,
Norway,Norway,NOR,,,
Oman,Oman,OMN,,,
Pakistan,Pakistan,PAK,,,
Palestine,Palestinian Territories,PS,,,
Panama,Panama,PAN,,,
Papua New Guinea,Papua New Guinea,PNG,,,
Paraguay,Paraguay,PRY,,,
Peru,Peru,PER,,,
Philippines,Philippines,PHL,,,
Poland,Poland,POL,,,
Portugal,Portugal,PRT,,,
Puerto Rico,Puerto Rico,PRI,,,
Qatar,Qatar,QAT,,,
Romania,Romania,ROU,,,
Russian Federation,Russia,RUS,,,
Rwanda,Rwanda,RWA,,,
Saint Lucia,Saint Lucia,LCA,,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,,,
Samoa,Samoa,WSM,,,
Sao Tome and Principe,Sao Tome and Principe,STP,,,
Saudi Arabia,Saudi Arabia,SAU,,,
Senegal,Senegal,SEN,,,
Serbia,Serbia,SRB,,,
Seychelles,Seychelles,SYC,,,
Sierra Leone,Sierra Leone,SLE,,,
Singapore,Singapore,SGP,,,
Slovakia,Slovakia,SVK,,,
Slovenia,Slovenia,SVN,,,
Solomon Islands,Solomon Islands,SLB,,,
Somalia,Somalia,SOM,,,
South Africa,South Africa,ZAF,,,
South Korea,South Korea,KOR,,,
South Sudan,South Sudan,,,,
Spain,Spain,ESP,,,
Sri Lanka,Sri Lanka,LKA,,,
Sudan,Sudan,SDN,,,
Suriname,Suriname,SUR,,,
Swaziland,Swaziland,SWZ,,,
Sweden,Sweden,SWE,,,
Switzerland,Switzerland,CHE,,,
Syria,Syria,SYR,,,
Taiwan,Taiwan,TWN,,,
Tajikistan,Tajikistan,TJK,,,
Tanzania,Tanzania,TZA,,,
Thailand,Thailand,THA,,,
The Bahamas,Bahamas,BHS,,,
The Gambia,Gambia,GMB,,,
Timor-Leste,Timor-Leste,,,,
Togo,Togo,TGO,,,
Tonga,Tonga,TON,,,
Trinidad and Tobago,Trinidad and Tobago,TTO,,,
Tunisia,Tunisia,TUN,,,
Turkey,Turkey,TUR,,Aruba,ABW
Turkmenistan,Turkmenistan,TKM,,Euro area,XM
Uganda,Uganda,UGA,,Faroe Islands,FRO
Ukraine,Ukraine,UKR,,Hong Kong S.A.R. of China,HKG
United Arab Emirates,United Arab Emirates,ARE,,Ivory Coast,CIV
United Kingdom,United Kingdom,GBR,,Kosovo,KXK
United States,United States,USA,,Liechtenstein,LIE
Uruguay,Uruguay,URY,,Macao,MAC
Uzbekistan,Uzbekistan,UZB,,Micronesia,FSM
Vanuatu,Vanuatu,VUT,,Monaco,MCO
Venezuela,Venezuela,VEN,,New Caledonia,NCL
Vietnam,Vietnam,VNM,,Norfolk Island,NFK
"Virgin Islands, U.S.","Virgin Islands, U.S.",,,Palau,PLW
Yemen,Yemen,YEM,,Congo (Brazzaville),COG
