Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,1273.0,1322.0,1284.0,1377.0,1408.0,1563.0,1588.0,1882.0,2094.0,2038.0,2220.0,2264.0,2249.0,2213.0,2201.0,2203.0
Albania,4948.0,3584.0,3347.0,3689.0,4020.0,4584.0,5032.0,4511.0,4940.0,5612.0,6041.0,6603.0,6924.0,7334.0,7771.0,8243.0,8784.0,9380.0,10161.0,10573.0,11019.0,11330.0,11510.0,11646.0,11877.0,12176.0,12600.0,13094.0
Algeria,8607.0,8297.0,8250.0,7900.0,7668.0,7809.0,7988.0,7946.0,8227.0,8371.0,8572.0,8714.0,9086.0,9616.0,9898.0,10338.0,10360.0,10547.0,10625.0,10611.0,10796.0,10902.0,11055.0,11139.0,11329.0,11511.0,11638.0,11551.0
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,5758.0,5625.0,5126.0,3772.0,3701.0,4122.0,4532.0,4708.0,4772.0,4720.0,4707.0,4746.0,5218.0,5196.0,5569.0,6183.0,6652.0,7310.0,7830.0,7610.0,7692.0,7675.0,8037.0,8141.0,8240.0,8036.0,7569.0,7311.0
Antigua and Barbuda,15460.0,15587.0,15497.0,15992.0,16697.0,15628.0,16304.0,16829.0,17259.0,17551.0,18395.0,17213.0,17149.0,17957.0,18742.0,19668.0,21839.0,23486.0,23102.0,19989.0,18206.0,17604.0,17966.0,17642.0,18104.0,18595.0,19418.0,19840.0
Argentina,14145.0,15222.0,16209.0,17312.0,18092.0,17363.0,18105.0,19348.0,19866.0,18981.0,18625.0,17611.0,15523.0,16715.0,18033.0,19427.0,20778.0,22424.0,23104.0,21520.0,23521.0,24648.0,24119.0,24424.0,23550.0,23934.0,23190.0,23563.0
Armenia,5185.0,4621.0,2738.0,2557.0,2760.0,3011.0,3237.0,3382.0,3657.0,3802.0,4052.0,4467.0,5084.0,5828.0,6475.0,7421.0,8466.0,9714.0,10474.0,9052.0,9286.0,9725.0,10398.0,10691.0,11020.0,11321.0,11303.0,12115.0
Australia,31309.0,30790.0,30544.0,31466.0,32374.0,33212.0,34050.0,35007.0,36230.0,37635.0,38652.0,38871.0,39936.0,40624.0,41784.0,42557.0,43106.0,44484.0,45197.0,45132.0,45354.0,45830.0,46802.0,47192.0,47671.0,48020.0,48586.0,48905.0
Austria,37701.0,38611.0,38988.0,38871.0,39652.0,40648.0,41547.0,42369.0,43838.0,45309.0,46726.0,47137.0,47680.0,47895.0,48901.0,49659.0,51120.0,52854.0,53459.0,51312.0,52129.0,53472.0,53591.0,53289.0,53224.0,53165.0,53688.0,54637.0
Azerbaijan,7792.0,7618.0,5808.0,4399.0,3485.0,3039.0,3047.0,3193.0,3479.0,3704.0,4081.0,4451.0,4835.0,5288.0,5727.0,7254.0,9647.0,11967.0,12960.0,13883.0,14375.0,13966.0,14085.0,14717.0,14941.0,14919.0,14301.0,14121.0
Bahrain,38626.0,41799.0,43459.0,47851.0,46570.0,47189.0,47857.0,47989.0,48749.0,49021.0,49439.0,48278.0,47343.0,47509.0,47693.0,47524.0,46942.0,47032.0,46438.0,44788.0,44630.0,44187.0,45066.0,46962.0,48233.0,48320.0,48107.0,47655.0
Bangladesh,1518.0,1535.0,1582.0,1621.0,1649.0,1697.0,1736.0,1776.0,1830.0,1877.0,1938.0,1998.0,2037.0,2097.0,2172.0,2280.0,2399.0,2537.0,2659.0,2762.0,2883.0,3035.0,3196.0,3349.0,3512.0,3700.0,3920.0,4161.0
Barbados,14132.0,13530.0,12713.0,12765.0,12972.0,13180.0,13648.0,14235.0,14702.0,14691.0,15284.0,14869.0,14935.0,15210.0,15371.0,15919.0,16751.0,16987.0,17066.0,16170.0,15761.0,15589.0,15539.0,15294.0,15240.0,15549.0,15877.0,15825.0
Belarus,8895.0,8784.0,7924.0,7305.0,6458.0,5805.0,5988.0,6699.0,7296.0,7576.0,8053.0,8477.0,8962.0,9660.0,10840.0,11940.0,13215.0,14417.0,15943.0,16010.0,17288.0,18252.0,18577.0,18760.0,19067.0,18308.0,17823.0,18280.0
Belgium,35535.0,36052.0,36456.0,35965.0,37011.0,37814.0,38239.0,39594.0,40285.0,41616.0,43058.0,43382.0,43926.0,44196.0,45577.0,46379.0,47250.0,48629.0,48462.0,47102.0,48011.0,48193.0,48249.0,48243.0,48787.0,49492.0,49986.0,50772.0
Belize,4707.0,5148.0,5674.0,5930.0,5820.0,5708.0,5608.0,5599.0,5590.0,5858.0,6398.0,6515.0,6657.0,7088.0,7228.0,7223.0,7359.0,7249.0,7293.0,7159.0,7222.0,7204.0,7246.0,7144.0,7248.0,7339.0,7148.0,7109.0
Benin,2175.0,2192.0,2180.0,2227.0,2196.0,2253.0,2278.0,2337.0,2358.0,2412.0,2478.0,2533.0,2571.0,2580.0,2614.0,2582.0,2607.0,2685.0,2738.0,2724.0,2705.0,2708.0,2760.0,2877.0,2976.0,2946.0,2961.0,3045.0
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,2784.0,2753.0,2880.0,2948.0,3098.0,3300.0,3440.0,3558.0,3683.0,3884.0,4061.0,4309.0,4686.0,4958.0,5165.0,5457.0,5762.0,6743.0,6996.0,7394.0,8191.0,8745.0,9084.0,9164.0,9574.0,10086.0,10775.0,11142.0
Bolivia,4587.0,4728.0,4706.0,4805.0,4925.0,5050.0,5164.0,5312.0,5469.0,5386.0,5416.0,5403.0,5434.0,5479.0,5605.0,5750.0,5921.0,6085.0,6351.0,6456.0,6613.0,6845.0,7081.0,7444.0,7731.0,7984.0,8203.0,8424.0
Bosnia and Herzegovina,,,,,1682.0,2089.0,4015.0,5436.0,6287.0,6874.0,7237.0,7547.0,7939.0,8250.0,8749.0,9512.0,10027.0,10622.0,11224.0,10940.0,11114.0,11351.0,11447.0,11923.0,12269.0,12843.0,13415.0,13843.0
Botswana,9074.0,9460.0,9470.0,9406.0,9510.0,9935.0,10266.0,10863.0,10666.0,11447.0,11439.0,11254.0,11727.0,12059.0,12167.0,12484.0,13257.0,14051.0,14615.0,13235.0,14126.0,14770.0,15245.0,16786.0,17264.0,16714.0,17116.0,17253.0
Brazil,10518.0,10490.0,10265.0,10566.0,10950.0,11251.0,11318.0,11520.0,11384.0,11269.0,11597.0,11599.0,11797.0,11782.0,12312.0,12562.0,12918.0,13561.0,14110.0,13958.0,14868.0,15318.0,15474.0,15800.0,15744.0,15059.0,14446.0,14520.0
Brunei,71231.0,71405.0,72705.0,70910.0,71176.0,72446.0,72695.0,69941.0,67984.0,68542.0,69023.0,69485.0,70771.0,71484.0,70617.0,69787.0,71843.0,71052.0,68856.0,66850.0,67751.0,69389.0,69092.0,66715.0,64297.0,63141.0,60866.0,60996.0
Bulgaria,10584.0,9786.0,9173.0,9109.0,9306.0,9615.0,9733.0,9686.0,10370.0,9551.0,10056.0,10645.0,11525.0,12215.0,13100.0,14139.0,15226.0,16465.0,17580.0,17059.0,17399.0,17846.0,17955.0,18145.0,18584.0,19352.0,20256.0,21182.0
Burkina Faso,892.0,947.0,924.0,930.0,917.0,943.0,1018.0,1053.0,1099.0,1147.0,1135.0,1176.0,1193.0,1249.0,1267.0,1337.0,1379.0,1414.0,1472.0,1470.0,1503.0,1555.0,1606.0,1650.0,1671.0,1686.0,1734.0,1791.0
Burundi,1185.0,1216.0,1202.0,1105.0,1045.0,948.0,861.0,839.0,870.0,850.0,828.0,826.0,840.0,805.0,817.0,799.0,815.0,816.0,828.0,832.0,846.0,853.0,863.0,877.0,886.0,825.0,795.0,774.0
Cambodia,,,,1761.0,1109.0,1180.0,1213.0,1226.0,1250.0,1375.0,1489.0,1567.0,1640.0,1749.0,1899.0,2117.0,2309.0,2508.0,2636.0,2599.0,2712.0,2858.0,3017.0,3186.0,3358.0,3538.0,3727.0,3928.0
Cameroon,3223.0,3009.0,2831.0,2533.0,2515.0,2531.0,2572.0,2636.0,2683.0,2727.0,2751.0,2796.0,2838.0,2889.0,3003.0,2982.0,3002.0,3064.0,3085.0,3067.0,3086.0,3127.0,3181.0,3263.0,3363.0,3459.0,3524.0,3555.0
Canada,31999.0,30945.0,30856.0,31331.0,32382.0,32912.0,33097.0,34173.0,34838.0,35928.0,37346.0,37461.0,38324.0,39428.0,40591.0,42218.0,43534.0,46075.0,46038.0,44182.0,45044.0,46009.0,46314.0,46895.0,47758.0,47730.0,47715.0,48553.0
Cape Verde,1749.0,1731.0,1869.0,1974.0,2288.0,2547.0,2769.0,3011.0,3320.0,3623.0,4065.0,4084.0,4229.0,4337.0,4709.0,4965.0,5291.0,6018.0,6341.0,6186.0,6200.0,6366.0,6354.0,6323.0,6282.0,6267.0,6483.0,6643.0
Central African Republic,1202.0,1165.0,1061.0,1034.0,1054.0,1099.0,1028.0,1055.0,1078.0,1091.0,1040.0,1063.0,1078.0,999.0,1038.0,1027.0,1055.0,1083.0,1085.0,1161.0,1201.0,1243.0,1300.0,825.0,823.0,853.0,884.0,913.0
Chad,1004.0,1055.0,1104.0,901.0,961.0,941.0,930.0,949.0,980.0,939.0,897.0,965.0,1007.0,1112.0,1430.0,1618.0,1572.0,1570.0,1565.0,1578.0,1733.0,1677.0,1765.0,1804.0,1866.0,1857.0,1687.0,1587.0
Chile,9544.0,10121.0,11067.0,11605.0,11999.0,12875.0,13557.0,14368.0,14797.0,14557.0,15153.0,15478.0,15787.0,16262.0,17254.0,18056.0,18995.0,19715.0,20193.0,19668.0,20602.0,21644.0,22577.0,23262.0,23423.0,23682.0,23760.0,23724.0
China,1412.0,1522.0,1717.0,1933.0,2161.0,2372.0,2580.0,2789.0,2979.0,3180.0,3423.0,3682.0,3991.0,4364.0,4777.0,5290.0,5930.0,6738.0,7351.0,8002.0,8811.0,9606.0,10311.0,11057.0,11804.0,12555.0,13329.0,14150.0
Colombia,8389.0,8391.0,8562.0,8851.0,9191.0,9493.0,9517.0,9674.0,9567.0,9016.0,9132.0,9140.0,9227.0,9448.0,9812.0,10136.0,10685.0,11276.0,11508.0,11517.0,11893.0,12645.0,13021.0,13492.0,13988.0,14234.0,14335.0,14312.0
Comoros,3061.0,2812.0,2964.0,2966.0,2731.0,2751.0,2642.0,2676.0,2639.0,2622.0,2834.0,2829.0,2826.0,2817.0,2804.0,2816.0,2822.0,2777.0,2820.0,2841.0,2878.0,2925.0,2946.0,3006.0,2996.0,2960.0,2988.0,3032.0
