Country name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.88,0.88,0.85,0.71,0.73,0.78,0.82,0.87,0.88,0.79,0.95
Albania,0.87,0.86,0.86,0.73,0.88,0.85,0.86,0.88,0.88,0.9,0.88
Argentina,0.88,0.86,0.88,0.85,0.75,0.82,0.82,0.85,0.85,0.85,0.84
Armenia,0.82,0.88,0.88,0.89,0.87,0.89,0.9,0.92,0.9,0.92,0.86
Australia,0.51,0.43,0.37,0.37,0.38,0.37,0.43,0.44,0.36,0.4,0.41
Austria,0.61,0.61,0.55,0.55,0.7,0.77,0.68,0.57,0.56,0.52,0.52
Azerbaijan,0.87,0.72,0.75,0.86,0.8,0.76,0.7,0.65,0.62,0.61,0.65
Bahrain,0.51,0.51,0.51,0.71,0.58,0.44,0.52,0.0,0.0,0.0,0.0
Bangladesh,0.81,0.8,0.78,0.77,0.76,0.76,0.74,0.79,0.72,0.69,0.64
Belarus,0.69,0.7,0.68,0.71,0.67,0.66,0.65,0.68,0.67,0.66,0.65
Belgium,0.72,0.65,0.7,0.7,0.71,0.76,0.57,0.51,0.47,0.5,0.54
Benin,0.83,0.83,0.85,0.85,0.85,0.81,0.86,0.85,0.85,0.84,0.77
Bolivia,0.82,0.8,0.76,0.78,0.82,0.84,0.81,0.83,0.86,0.85,0.82
Bosnia and Herzegovina,0.93,0.96,0.96,0.93,0.92,0.95,0.97,0.98,0.96,0.96,0.92
Botswana,0.81,0.81,0.81,0.81,0.82,0.81,0.75,0.74,0.86,0.73,0.73
Brazil,0.73,0.69,0.72,0.66,0.66,0.62,0.71,0.71,0.77,0.78,0.79
Bulgaria,0.98,0.94,0.94,0.94,0.95,0.94,0.96,0.95,0.94,0.94,0.91
Burkina Faso,0.83,0.89,0.77,0.77,0.71,0.73,0.76,0.8,0.69,0.72,0.73
Cambodia,0.88,0.89,0.96,0.9,0.78,0.89,0.81,0.84,0.83,0.84,0.82
Cameroon,0.91,0.95,0.93,0.87,0.87,0.9,0.87,0.86,0.87,0.88,0.84
Canada,0.41,0.37,0.41,0.41,0.43,0.47,0.41,0.44,0.43,0.39,0.36
Chad,0.87,0.94,0.93,0.86,0.88,0.88,0.88,0.88,0.89,0.82,0.79
Chile,0.72,0.74,0.73,0.7,0.75,0.78,0.74,0.76,0.81,0.86,0.84
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.86,0.76,0.84,0.81,0.85,0.87,0.9,0.89,0.84,0.9,0.88
Congo (Brazzaville),0.0,0.0,0.83,0.83,0.83,0.8,0.75,0.81,0.84,0.79,0.76
Costa Rica,0.82,0.82,0.79,0.76,0.84,0.79,0.81,0.79,0.76,0.78,0.74
Croatia,0.93,0.96,0.96,0.97,0.98,0.92,0.94,0.92,0.85,0.88,0.89
Cyprus,0.8,0.8,0.8,0.83,0.84,0.87,0.87,0.87,0.89,0.9,0.85
Czech Republic,0.93,0.93,0.93,0.93,0.95,0.96,0.92,0.9,0.89,0.9,0.87
Denmark,0.21,0.25,0.21,0.17,0.22,0.19,0.17,0.24,0.19,0.21,0.18
Dominican Republic,0.77,0.73,0.81,0.78,0.79,0.73,0.75,0.76,0.76,0.74,0.76
Ecuador,0.83,0.8,0.77,0.81,0.7,0.73,0.65,0.66,0.67,0.77,0.73
Egypt,0.0,0.91,0.8,0.83,0.86,0.88,0.91,0.75,0.68,0.82,0.0
El Salvador,0.79,0.73,0.65,0.69,0.71,0.79,0.77,0.78,0.8,0.8,0.78
Estonia,0.74,0.66,0.79,0.69,0.69,0.79,0.73,0.65,0.57,0.64,0.67
Finland,0.22,0.22,0.41,0.41,0.32,0.36,0.31,0.27,0.22,0.25,0.19
France,0.67,0.67,0.65,0.62,0.63,0.61,0.7,0.66,0.64,0.62,0.6
Gabon,0.85,0.85,0.85,0.85,0.85,0.81,0.78,0.78,0.87,0.82,0.87
Georgia,0.7,0.5,0.53,0.46,0.35,0.32,0.35,0.42,0.5,0.56,0.59
Germany,0.79,0.76,0.69,0.69,0.68,0.68,0.57,0.47,0.41,0.45,0.41
Ghana,0.77,0.86,0.89,0.87,0.79,0.9,0.88,0.91,0.95,0.89,0.84
Greece,0.84,0.96,0.96,0.95,0.94,0.96,0.94,0.93,0.82,0.9,0.87
Guatemala,0.81,0.8,0.75,0.79,0.86,0.82,0.82,0.8,0.82,0.81,0.8
Guinea,0.74,0.74,0.74,0.74,0.74,0.79,0.82,0.71,0.76,0.8,0.75
Haiti,0.81,0.81,0.85,0.85,0.68,0.72,0.67,0.71,0.78,0.84,0.65
Honduras,0.83,0.86,0.86,0.82,0.88,0.87,0.87,0.83,0.85,0.79,0.78
Hong Kong S.A.R. of China,0.27,0.27,0.27,0.26,0.24,0.38,0.42,0.42,0.4,0.4,0.42
Hungary,0.9,0.91,0.91,0.98,0.94,0.93,0.91,0.86,0.91,0.92,0.89
India,0.86,0.89,0.89,0.86,0.91,0.83,0.83,0.83,0.78,0.76,0.78
Indonesia,0.96,0.97,0.91,0.95,0.96,0.96,0.97,0.97,0.95,0.89,0.9
Iran,0.87,0.87,0.66,0.66,0.66,0.68,0.69,0.64,0.7,0.71,0.71
Iraq,0.91,0.91,0.85,0.86,0.78,0.79,0.71,0.73,0.76,0.8,0.76
Ireland,0.49,0.49,0.58,0.62,0.59,0.57,0.56,0.41,0.41,0.4,0.34
Israel,0.87,0.9,0.92,0.9,0.89,0.86,0.85,0.82,0.79,0.8,0.79
Italy,0.92,0.95,0.89,0.92,0.93,0.91,0.94,0.92,0.91,0.9,0.87
Japan,0.81,0.82,0.74,0.77,0.73,0.69,0.65,0.62,0.65,0.7,0.66
Jordan,0.66,0.71,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,0.87,0.9,0.84,0.82,0.8,0.88,0.82,0.81,0.71,0.7,0.76
Kenya,0.8,0.91,0.91,0.92,0.92,0.91,0.86,0.85,0.85,0.83,0.85
Kosovo,0.89,0.85,0.97,0.97,0.92,0.95,0.94,0.78,0.85,0.94,0.93
Kuwait,0.68,0.68,0.68,0.49,0.56,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,0.93,0.92,0.9,0.93,0.93,0.89,0.9,0.9,0.86,0.92,0.87
Latvia,0.92,0.93,0.94,0.93,0.93,0.89,0.84,0.8,0.81,0.87,0.8
Lebanon,0.93,0.93,0.94,0.95,0.91,0.86,0.92,0.94,0.89,0.85,0.91
Liberia,0.78,0.84,0.82,0.82,0.87,0.87,0.87,0.87,0.9,0.9,0.87
Lithuania,0.97,0.96,0.98,0.96,0.96,0.96,0.94,0.96,0.92,0.95,0.79
Luxembourg,0.43,0.43,0.43,0.42,0.39,0.4,0.3,0.37,0.38,0.36,0.33
Macedonia,0.87,0.84,0.84,0.86,0.87,0.92,0.86,0.86,0.82,0.87,0.86
Madagascar,0.77,0.77,0.9,0.9,0.9,0.85,0.87,0.79,0.86,0.86,0.85
Malawi,0.69,0.69,0.69,0.85,0.85,0.89,0.86,0.82,0.83,0.82,0.73
Malaysia,0.8,0.88,0.86,0.84,0.84,0.85,0.76,0.84,0.84,0.89,0.89
Mali,0.92,0.92,0.82,0.81,0.73,0.79,0.75,0.66,0.8,0.86,0.86
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.66,0.7,0.69
Mauritania,0.59,0.84,0.85,0.73,0.75,0.71,0.68,0.59,0.72,0.84,0.78
Mexico,0.75,0.78,0.76,0.69,0.7,0.63,0.61,0.63,0.71,0.81,0.8
Moldova,0.93,0.93,0.93,0.93,0.96,0.96,0.94,0.92,0.94,0.97,0.93
Mongolia,0.92,0.96,0.93,0.93,0.93,0.93,0.93,0.91,0.9,0.9,0.86
Montenegro,0.81,0.84,0.84,0.76,0.76,0.76,0.69,0.77,0.78,0.85,0.76
Morocco,0.9,0.9,0.9,0.9,0.88,0.84,0.77,0.84,0.84,0.72,0.84
Nepal,0.89,0.9,0.95,0.91,0.93,0.88,0.88,0.84,0.82,0.82,0.77
Netherlands,0.45,0.42,0.4,0.4,0.36,0.43,0.5,0.46,0.41,0.43,0.36
New Zealand,0.29,0.33,0.32,0.32,0.27,0.29,0.31,0.27,0.19,0.28,0.22
Nicaragua,0.83,0.82,0.79,0.8,0.76,0.64,0.64,0.7,0.73,0.73,0.67
Niger,0.75,0.75,0.48,0.53,0.55,0.78,0.71,0.6,0.7,0.81,0.78
Nigeria,0.92,0.89,0.91,0.91,0.9,0.9,0.91,0.93,0.93,0.9,0.83
Pakistan,0.79,0.85,0.87,0.85,0.86,0.84,0.79,0.68,0.72,0.79,0.71
Palestinian Territories,0.84,0.75,0.8,0.75,0.75,0.73,0.78,0.8,0.77,0.81,0.83
Panama,0.92,0.88,0.89,0.88,0.84,0.8,0.81,0.85,0.81,0.84,0.84
Paraguay,0.93,0.89,0.86,0.78,0.76,0.77,0.9,0.76,0.86,0.76,0.81
