Country name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,3.72,3.72,4.4,4.76,3.83,3.78,3.57,3.13,3.98,4.22,2.66
Albania,4.63,5.49,5.49,5.27,5.87,5.51,4.55,4.81,4.61,4.51,4.64
Argentina,6.07,5.96,6.42,6.44,6.78,6.47,6.58,6.67,6.7,6.43,6.04
Armenia,4.88,4.65,4.18,4.37,4.26,4.32,4.28,4.45,4.35,4.33,4.29
Australia,7.29,7.25,7.45,7.45,7.41,7.2,7.36,7.29,7.31,7.25,7.26
Austria,7.18,7.18,7.3,7.3,7.47,7.4,7.5,6.95,7.08,7.05,7.29
Azerbaijan,4.57,4.82,4.57,4.22,4.68,4.91,5.48,5.25,5.15,5.3,5.15
Bahrain,5.7,5.7,5.7,5.94,4.82,5.03,6.69,6.17,6.01,6.17,6.23
Bangladesh,4.61,5.05,5.08,4.86,4.99,4.72,4.66,4.64,4.63,4.56,4.31
Belarus,5.62,5.46,5.56,5.53,5.23,5.75,5.88,5.81,5.72,5.18,5.55
Belgium,7.22,7.12,6.85,6.85,7.11,6.94,7.1,6.86,6.9,6.95,6.93
Benin,3.67,3.67,3.87,3.87,3.87,3.19,3.48,3.35,3.62,4.01,4.85
Bolivia,5.63,5.3,6.09,5.78,5.78,6.02,5.77,5.86,5.83,5.77,5.65
Bosnia and Herzegovina,4.9,4.96,4.96,4.67,4.99,4.77,5.12,5.25,5.12,5.18,5.09
Botswana,5.45,5.45,3.55,3.55,3.52,4.84,4.13,4.03,3.76,3.5,3.5
Brazil,6.32,6.69,7.0,6.84,7.04,6.66,7.14,6.98,6.55,6.37,6.33
Bulgaria,3.84,3.91,3.91,3.91,3.88,4.22,3.99,4.44,4.87,4.84,5.1
Burkina Faso,4.02,3.85,4.04,4.04,4.79,3.96,3.33,3.48,4.42,4.21,4.65
Cambodia,4.16,4.46,4.11,4.14,4.16,3.9,3.67,3.88,4.16,4.46,4.59
Cameroon,4.35,4.29,4.74,4.55,4.43,4.24,4.27,4.24,5.04,4.82,5.07
Canada,7.48,7.49,7.49,7.65,7.43,7.42,7.59,7.3,7.41,7.24,7.41
Chad,4.14,4.63,3.64,3.74,4.39,4.03,3.51,3.46,4.32,4.03,4.56
Chile,5.7,5.79,6.49,6.64,6.53,6.6,6.74,6.84,6.53,6.58,6.32
China,4.86,4.85,4.45,4.65,5.04,5.09,5.24,5.2,5.3,5.32,5.1
Colombia,6.14,6.17,6.27,6.41,6.46,6.37,6.61,6.45,6.39,6.23,6.16
Congo (Brazzaville),3.82,3.82,4.51,4.51,4.51,3.92,3.95,4.06,4.69,4.12,4.88
Costa Rica,7.43,6.85,7.61,7.27,7.23,7.27,7.16,7.25,6.85,7.14,7.23
Croatia,5.82,5.43,5.43,5.6,5.39,6.03,5.89,5.38,5.21,5.42,5.34
Cyprus,6.83,6.83,6.83,6.39,6.69,6.18,5.44,5.63,5.44,5.79,6.06
Czech Republic,6.5,6.25,6.25,6.25,6.33,6.33,6.7,6.48,6.61,6.74,6.79
Denmark,7.83,7.97,7.68,7.77,7.79,7.52,7.59,7.51,7.51,7.56,7.59
Dominican Republic,5.08,4.84,5.43,4.74,5.4,4.75,5.02,5.39,5.06,5.24,5.61
Ecuador,5.0,5.3,6.02,5.84,5.8,5.96,6.02,5.95,5.96,6.12,5.84
Egypt,5.54,4.63,5.07,4.67,4.17,4.2,3.56,4.89,4.76,4.56,3.93
El Salvador,5.3,5.19,6.84,6.74,4.74,5.93,6.33,5.86,6.02,6.14,6.34
Estonia,5.33,5.45,5.14,5.49,5.49,5.36,5.37,5.56,5.63,5.65,5.94
Finland,7.67,7.67,7.39,7.39,7.35,7.42,7.44,7.38,7.45,7.66,7.79
France,7.01,7.01,6.28,6.8,6.96,6.65,6.67,6.47,6.36,6.48,6.64
Gabon,4.26,4.26,4.26,4.26,4.26,3.97,3.8,3.92,4.66,4.83,4.78
Georgia,3.71,4.16,3.8,4.1,4.2,4.25,4.35,4.29,4.12,4.45,4.45
Germany,6.42,6.52,6.64,6.72,6.62,6.7,6.97,6.98,7.04,6.87,7.07
Ghana,5.22,4.97,4.2,4.61,5.61,5.06,4.97,3.86,3.99,4.51,5.48
Greece,6.65,6.04,6.04,5.84,5.37,5.1,4.72,4.76,5.62,5.3,5.15
Guatemala,6.33,6.41,6.45,6.29,5.74,5.86,5.98,6.54,6.46,6.36,6.33
Guinea,4.04,4.04,4.04,4.04,4.04,3.65,3.9,3.41,3.5,3.6,4.87
Haiti,3.85,3.85,3.77,3.77,4.84,4.41,4.62,3.89,3.57,3.35,3.82
Honduras,5.1,5.42,6.03,5.87,4.96,4.6,4.71,5.06,4.85,5.65,6.02
Hong Kong S.A.R. of China,5.14,5.14,5.4,5.64,5.47,5.48,5.46,5.46,5.5,5.5,5.36
Hungary,4.95,4.89,4.89,4.73,4.92,4.68,4.91,5.18,5.34,5.45,6.07
India,5.03,5.15,4.52,4.99,4.63,4.72,4.43,4.42,4.34,4.18,4.05
Indonesia,5.1,4.82,5.47,5.46,5.17,5.37,5.29,5.6,5.04,5.14,5.1
Iran,5.34,5.13,4.77,4.77,4.77,4.61,5.14,4.68,4.75,4.65,4.72
