,Min Value,Max Value,range,Pos-Neg
Happiness Index,2.66,7.79,5.13,1
Log GDP,6.83,11.44,4.609999999999999,1
Social support,0.44,0.96,0.52,1
Healthy life exp,47.7,76.5,28.799999999999997,1
Freedom,0.43,0.99,0.56,1
Generosity,-0.29,0.48,0.77,1
Pct corruption,0.16,0.95,0.7899999999999999,-1
Blue Index,6.504327939252,117.13028160896002,110.62595366970803,-1
Suicide,2.86,36.27,33.410000000000004,-1
Depression & Anxiety,2356.0,7231.0,4875.0,-1
Substance Abuse,2.86,36.27,33.410000000000004,-1
Physician perpop,0.0434,6.1297,6.0863,1
Average Age,15.4,47.3,31.9,1
Sleep (min),377.0,458.0,81.0,-1
