Country name,Code,GDP,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Blue Index,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Fragile index ,Security index,brain drain,Unemployment rate,Continent
Afghanistan,AFG,0.012109738,0,0.138828633,0.096153846,0.177083333,0,0.233766234,1,0.187568577,0.071535468,0.394461538,0.096708725,0.393046679,0.106583072,,,,0.375431034,,,0,0.141955836,0,0.92,0.402182092,Asia
Albania,ALB,0.109371651,0.385964912,0.553145336,0.384615385,0.71875,0.571428571,0.337662338,0.911392405,0.17925144,0.089793475,0.111179487,0.336781359,0.393046679,0.548589342,,,,0.234482759,,0.053396659,0.02680195,0.028391167,0.425287356,0.84,0.498871332,Europe
Argentina,ARG,0.2028649,0.658869396,0.655097614,0.903846154,0.725694444,0.714285714,0.142857143,0.860759494,0.284616976,0.254115534,0.361230769,0.238504624,0.393046679,0.510971787,0.50617284,0.544802867,0.344674556,0.271982759,,0.0772361,0.076676769,0.466876972,0.379310345,0.226666667,0.295711061,Americas
Armenia,ARM,0.100628706,0.317738791,0.488069414,0.5,0.65625,0.321428571,0.207792208,0.886075949,0.259076594,0.212810536,0.192820513,0.371598732,0.648456369,0.617554859,,0.29390681,0.344674556,0.148706897,0.999028938,0.01710722,0.014810911,0.706624606,0.517241379,0.653333333,0.647479308,Asia
Australia,AUS,0.429181253,0.89668616,0.84164859,0.980769231,0.888888889,0.857142857,0.779220779,0.316455696,0.380137502,0.296318468,0.623589744,0.220504294,0.716182245,0.730407524,0.938271605,,,,,0.101490541,0.579246278,0.194532072,0.126436782,0,0.191873589,Oceania
Austria,AUT,0.480370794,0.902534113,0.845986985,0.903846154,0.868055556,0.821428571,0.558441558,0.455696203,0.27479314,0.398383717,0.275692308,0.150303395,0.597144406,0.896551724,0.790123457,,,,,0.339481481,0.295269469,0.251314406,0,0.026666667,0.188487585,Europe
Azerbaijan,AZE,0.118543259,0.485380117,0.618221258,0.673076923,0.607638889,0.535714286,0.064935065,0.620253165,0.19059675,0.040706375,0.081025641,0.450058235,0.842268702,0.498432602,,,,0,1,0.028162357,0.042139939,0.762355415,0.597701149,0.4,0.169676448,Asia
Bahrain,BHR,0.418018147,0.695906433,0.835140998,0.846153846,0.722222222,0.857142857,0.545454545,,0.288820329,0.062855433,0.674871795,0.128733761,0.497428651,0.529780564,,,,0.009913793,0.95358322,0.130990121,0.057504283,0.642481598,0.67816092,0.293333333,0.007900677,Asia
Bangladesh,BGD,0.029595628,0.321637427,0.297180043,0.519230769,0.559027778,0.839285714,0.402597403,0.607594937,0.281777955,0.092487279,0.520820513,0.232026071,0.497428651,0.354231975,,,,0.493103448,0.47756846,0.011700693,0.004374753,0.896950578,0.75862069,0.866666667,0.145974417,Asia
Belarus,BLR,0.155685147,0.563352827,0.63340564,0.884615385,0.628472222,0.339285714,0.207792208,0.620253165,0.745069195,0.657587549,0.584615385,0.993004651,0.006785732,0.771159875,,0,0.051775148,0.229741379,,0.127370399,0.014600079,0.721345952,0.586206897,0.28,0.194130926,Europe
Belgium,BEL,0.445854469,0.832358674,0.830802603,0.923076923,0.836805556,0.767857143,0.454545455,0.481012658,0.375524511,0.478000599,0.535589744,0.11298319,0.006785732,0.815047022,0.901234568,,,,,0.096533598,0.126762419,0,0.16091954,0.04,0.248306998,Europe
