,Country name,Code,year,GDP,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Blue Index,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Fragile index ,Security index,brain drain,Unemployment rate,continent
0,Afghanistan,AFG,2017,2203,2.66,7.47,0.49,52.8,0.43,-0.11,0.95,11.68178276,5.25,4279,521.7977249,2.4356,18.8,,,,15.66,,,16,17.3,1,8.2,11.18,Asia
1,Albania,ALB,2017,13094,4.64,9.38,0.64,68.4,0.75,-0.03,0.88,12.58118272,5.86,2898,1080.73087,2.4356,32.9,,,,12.39,,4643,2050,6.5,4.7,7.6,13.75,Europe
2,Argentina,ARG,2017,23563,6.04,9.85,0.91,68.6,0.83,-0.18,0.84,23.91031448,11.35,4117,851.9245972,2.4356,31.7,418,40.6,25.7,13.26,,6711,5835,48.2,4.3,3,8.35,Americas
3,Armenia,ARM,2017,12115,4.29,9.08,0.7,66.6,0.61,-0.13,0.86,20.95411469,9.97,3296,1161.792104,3.9901,35.1,,33.6,25.7,10.4,99.74,1495,1140,71,5.5,6.2,17.7,Asia
4,Australia,AUS,2017,48905,7.26,10.71,0.95,73.3,0.91,0.31,0.41,27.1461708,12.76,5396,810.0165266,4.4023,38.7,453,,,,,8815,43975,22.3,2.1,1.3,5.59,Oceania
5,Austria,AUT,2017,54637,7.29,10.73,0.91,72.7,0.89,0.14,0.52,33.35997732,16.17,3700,646.5759507,3.6778,44,441,,,,,29460,22424,27.7,1,1.5,5.5,Europe
6,Azerbaijan,AZE,2017,14121,5.15,9.68,0.79,65.2,0.73,-0.24,0.65,9.318115056,4.22,2751,1344.460223,5.1697,31.3,,,,6.95,99.79,2454,3214,76.3,6.2,4.3,5,Asia
7,Bahrain,BHR,2017,47655,6.23,10.68,0.88,68.5,0.91,0.13,0,11.57608947,4.96,5646,596.3578847,3.0709,32.3,,,,7.18,97.4,11374,4380,64.9,6.9,3.5,0.7,Asia
8,Bangladesh,BGD,2017,4161,4.31,8.2,0.71,63.8,0.9,0.02,0.64,13.365877,5.95,4895,836.8413377,3.0709,26.7,,,,18.39,72.89,1026,348,89.1,7.6,7.8,4.37,Asia
9,Belarus,BLR,2017,18280,5.55,9.75,0.9,65.8,0.62,-0.13,0.65,51.67246811,24.83,5206,2608.539111,0.0847,40,,25.4,5.9,12.28,,11060,1124,72.4,6.1,3.4,5.65,Europe
